Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,govcat_cons,govcat_rec,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
District 11 - Merced,MERCED,CA2410307,CDPR-DINOSAUR POINT,NC,State,3,0,4/25/18,NA,18-Apr,CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one),CA2410305,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.211628,37.065095,Both,"Three park systems consolidated into one says excel yearly data, system type listed as NP and I changed the population served to zero to match partnerships tool data, there was a number around 300 I think in excel data originally. Look into if this shoudl be listed as regionalization",NA,No,No,3,CDPR,SWP,NA,SWP,SWP,171,Transient non-community system,NA,NA,NA,NA,Public ancillary,Public ancillary,27.6657060518732,72.3342939481268,52.57142857142857,0.8163265306122449,9.46938775510204,0,0,35.51020408163265,121213,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 11 - Merced,MARIPOSA,CA2202048,INDIAN FLAT R V PARK AND CAMPGROUND,NC,MHP,53,100,3/14/17,NA,17-Mar,Cedar Lodge Resort,CA2210900,Private (other),TCR/Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.848992,37.661214,Both,Excelle data sheets listed type as NP,NA,No,No,2,Yes,GW,NA,GW,GW,656,Community water system,155.9817901,1,NA,NA,Private ancillary,Private ancillary,25.468164794007492,74.53183520599251,60.48689138576779,0,0,19.662921348314608,0,17.415730337078653,40469,25.468164794007492,74.53183520599251,60.48689138576779,0,0,19.662921348314608,0,17.415730337078653,40469
District 23 - Fresno,FRESNO,CA1000207,CENTRAL WEST ARTS CENTER,C,School,7,56,12/11/18,NA,18-Dec,Central High School West,CA1000217,School,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.9873046,36.7647094,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1127,Non-Transient non-community system,1180.760907,2,NA,NA,Public ancillary,Public ancillary,37.71626297577855,62.28373702422145,43.24468085106383,1.5957446808510638,7.3936170212765955,0,0,43.45744680851064,54022,37.78616686356523,62.21383313643478,43.36839386299532,1.5835359640331004,7.337049966686698,0,0,43.43547310339551,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000077,CERES WEST MHP,C,MHP,46,161,8/21/20,NA,20-Aug,"CERES, CITY OF",CA5010028,City,"Arsenic and 1,2,3-TCP MCL Drinking Water Violations",Quality,0,1,0,0,0,Private,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/CERES_STORY_ACC.PDF,-120.9578627,37.5657347,Both,Excel data said system type of NP,NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,971.3157508,5,NA,NA,Private ancillary,General purpose government,39.36430317848411,60.63569682151589,26.881720430107524,0,2.846299810246679,0,0,68.62745098039215,67174,43.63728192861861,56.36271807138136,27.27215729287924,2.603596394141279,2.886483010742071,0.7767055629705519,0.7318217118737729,63.48240619036349,NA
District 12 - Visalia,KERN,CA1500508,TWIN PINES MOBILEHOME PARK,C,MHP,40,92,6/5/17,NA,17-Jun,City of Bakersfield,CA1510031,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.081399,35.382306,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,149796,Community water system,15.03698165,2,1,NA,Private ancillary,General purpose government,29.446640316205535,70.55335968379447,47.71573604060914,0.06345177664974619,6.852791878172589,0,0,31.15482233502538,68600,33.18315100119763,66.81684899880241,39.72860877208776,5.530192679230498,10.509700237715398,0.2594286300217811,0.22150454526428795,40.05863615728506,NA
LPA37- Contra Costa County,CONTRA COSTA,CA0706108,LONE TREE MEDICAL & DENTAL,NC,Private (other),2,45,8/2/18,NA,18-Aug,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.744998,37.960949,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,65118,Community water system,1522.171266,3,1,NA,Private ancillary,General purpose government,20.151515151515152,79.84848484848484,23.522683949675944,1.4105985512771635,32.78688524590164,0.7243614182234084,0,39.38238658025162,106652,22.877270366344277,77.12272963365572,50.85071589441944,9.196448960446798,10.475443868771242,0.5532782628927904,0.5256490228474652,22.51744209027355,NA
LPA37- Contra Costa County,CONTRA COSTA,CA0707557,NEIGHBORHOOD CHURCH,NTNC,Private (other),2,250,4/22/19,NA,19-Apr,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.690034,37.931527,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,65118,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,47.97178130511463,52.02821869488537,43.33507579717721,11.291165708311553,0,7.318348144276006,6.1160480920020905,28.01881860951385,87546,22.877270366344277,77.12272963365572,50.85071589441944,9.196448960446798,10.475443868771242,0.5532782628927904,0.5256490228474652,22.51744209027355,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000308,B & H MANUFACTURING,NTNC,Private (other),1,90,3/29/17,NA,17-Mar,City of Ceres,CA5010028,City,"Arsenic, coliform",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9658357,37.5349485,Both,"Coliform not listed on excel data but on tool, too lists coliform and arsenic as issues",NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,4066.801696,7,NA,NA,Private ancillary,General purpose government,18.525519848771268,81.47448015122873,53.64963503649635,0,1.322992700729927,1.322992700729927,0,43.70437956204379,NA,43.63728192861861,56.36271807138136,27.27215729287924,2.603596394141279,2.886483010742071,0.7767055629705519,0.7318217118737729,63.48240619036349,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000484,UNITED PALLET SERVICES INC WATER SYSTEM,NTNC,Private (other),5,45,9/24/18,NA,18-Sep,City of Ceres,CA5010028,City,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9942852,37.5788277,Both,Excel data said system type was NC,NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,1280.519084,2,NA,NA,Private ancillary,General purpose government,55.660377358490564,44.339622641509436,37.408424908424905,0,7.4633699633699635,1.1446886446886446,0,53.663003663003664,43864,43.63728192861861,56.36271807138136,27.27215729287924,2.603596394141279,2.886483010742071,0.7767055629705519,0.7318217118737729,63.48240619036349,NA
District 21 - Valley,COLUSA,CA0600011,DEL ORO WATER CO.-WALNUT RANCH,C,IOU,78,182,4/6/17,NA,17-Apr,City of Colusa,CA0610002,City,Arsenic/Failing wells,Multiple,1,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/delorowalnut.pdf,-122.022335,39.20228,Both,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,6175,Community water system,NA,NA,NA,NA,IOU,General purpose government,22.54901960784314,77.45098039215686,22.861710631494805,0,0,0,0,73.78097521982414,63841,42.03756925454509,57.96243074545488,40.813349229425036,2.868973568409726,0.7480383999926207,0.21031330638917037,9.413968212991953e-4,52.158132448552884,NA
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200516,LAZY CORRAL MOBILE HOME PARK,C,MHP,37,103,3/15/21,NA,21-Mar,CITY OF CORNING,CA5210001,City,BACTERIOLOGICAL,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.1959048,39.9212578,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7663,Community water system,140.6128615,2,NA,NA,Private ancillary,General purpose government,65.94936708860759,34.050632911392405,28.756157635467982,0,3.201970443349754,1.1699507389162562,0,63.608374384236456,26353,48.08420944432875,51.91579055567126,40.04867569866597,0.813412806986984,1.1598093883857674,2.0690382115468062,0.05231506252766299,48.267512026682844,43037.44581257634
District 01 - Klamath,HUMBOLDT,CA1200698,MOBILE ESTATES FN,C,MHP,66,120,6/26/17,NA,17-Jun,City of Eureka,CA1210004,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-124.063488,40.842738,Both,Receiving system name listed as placerville city in excel data but that makes no sense and system number in web tool links to Eureka so put that,NA,No,No,2,Yes,GW,NA,GW,GWP,27078,Community water system,2893.44254,2,NA,NA,Private ancillary,General purpose government,76.51991614255765,23.48008385744235,57.29461756373938,13.031161473087819,2.762039660056657,2.5495750708215295,0,16.78470254957507,34688,52.615423623786754,47.38457637621323,68.3161610274087,2.032946369614895,5.836010185842211,1.7346991633841913,0.1973269080353028,14.372551326660929,NA
DISTRICT 04 - SAN FRANCISCO,SOLANO,CA4810037,SOLANO COUNTY CORDELIA STATE,NC,County (other),1,30,5/3/19,NA,19-May,City of Fairfield,CA4810003,City,Arsenic,Quality,0,1,0,0,0,Solano County,Voluntary Consolidation,Physical,Voluntary,NA,-122.1062682,38.2312779,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,112140,Community water system,416.1414302,1,NA,NA,Public ancillary,General purpose government,42.039355992844364,57.960644007155636,40.01189060642093,3.151010701545779,40.19024970273484,0,0,11.414982164090368,106927,43.678226085490174,56.32177391450984,27.958338388664416,16.30646126376411,13.67536382881094,0.49380500527006255,1.4473278966711218,34.1341949778082,NA
District 23 - Fresno,FRESNO,CA1000624,SUNNYSIDE MARKET,NC,Private (other),2,429,9/5/17,NA,17-Sep,City of Fresno,CA1010007,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.6628067,36.7506917,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,113.6821938,1,NA,NA,Private ancillary,General purpose government,8.42358604091456,91.57641395908543,43.389700230591856,0.6149116064565718,18.48578016910069,0,0,28.785549577248272,97917,52.82689025005488,47.173109749945176,27.08587658230586,6.800368224416793,12.813800410251641,0.4672532288706747,0.14041545817058473,50.013704425848694,NA
District 11 - Merced,FRESNO,NA,DALEVILLE (Individual Homes),NA,Domestic wells,42,120,10/1/18,Dec.2018,18-Oct,City of Fresno,CA1010007,City,"Nitrate, uranium, drought supply shortages",Multiple,0,1,0,1,0,DWR / CAA,Domestic well consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/daleville.pdf,-119.7875425,36.7665762,Both,Changed pop and connections numbers based on story in consoldiation success story.,NA,No,No,1P,Yes,NA,NA,GW,SW,541990,Community water system,NA,NA,NA,NA,Domestic wells,General purpose government,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.82689025005488,47.173109749945176,27.08587658230586,6.800368224416793,12.813800410251641,0.4672532288706747,0.14041545817058473,50.013704425848694,NA
District 23 - Fresno,FRESNO,CA1000276,ORANGE CENTER SCHOOL,NTNC,School,3,410,6/27/19,NA,19-Jun,City of Fresno,CA1010007,City,Lead,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.780911,36.682749,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,325.9947466,2,NA,NA,Public ancillary,General purpose government,56.49717514124294,43.50282485875706,18.39080459770115,0.7662835249042145,6.0536398467432955,0,0,71.80076628352491,66023,52.82689025005488,47.173109749945176,27.08587658230586,6.800368224416793,12.813800410251641,0.4672532288706747,0.14041545817058473,50.013704425848694,NA
DISTRICT 23 - FRESNO,FRESNO,CA1000496,COPPER RIVER COUNTRY CLUB,NTNC,Private (other),1,125,8/30/21,NA,21-Aug,CITY OF FRESNO,CA1010007,City,"1,2,3 TCP",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet. Got  more info from regional board staff on April 20 2022",NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,1155.321832,1,1,NA,Private ancillary,General purpose government,12.23529411764706,87.76470588235294,37.66175814368585,0.892458723784025,54.08299866131191,0,0,6.202588130298974,157800,52.82689025005488,47.173109749945176,27.08587658230586,6.800368224416793,12.813800410251641,0.4672532288706747,0.14041545817058473,50.013704425848694,NA
DISTRICT 23 - FRESNO,FRESNO,CA1000646,E-Z TRIP,NP,Private (other),2,25,9/21/21,NA,21-Sep,City of Fresno,CA1010007,City,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet, Fiarly psoitive would be with Fresno city but double check",NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,150.5809507,1,NA,NA,Private ancillary,General purpose government,22.48939179632249,77.5106082036775,34.546862896979086,1.471727343144849,21.53369481022463,0,0,29.085979860573197,91372,52.82689025005488,47.173109749945176,27.08587658230586,6.800368224416793,12.813800410251641,0.4672532288706747,0.14041545817058473,50.013704425848694,NA
District 23 - Fresno,FRESNO,CA1000512,YERGAT PACKING COMPANY,NTNC,Private (other),2,150,NA,June.2019,22-Jun,CITY OF FRESNO,CA1010007,City,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.76196,36.6988433,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,0,1,1,NB -- This disappears when we filter out jurisdictional boundaries. There is no match without jurisdictional boundaries,Private ancillary,General purpose government,29.585798816568047,70.41420118343196,16.642958748221908,0.42674253200568996,24.039829302987197,0,0,58.89046941678521,45208,52.82689025005488,47.173109749945176,27.08587658230586,6.800368224416793,12.813800410251641,0.4672532288706747,0.14041545817058473,50.013704425848694,NA
District 23 - Fresno,FRESNO,CA1000248,DOUBLE L MOBILE RANCH PARK,C,MHP,37,80,4/16/20,NA,20-Apr,City of Kerman,CA1010018,City,"Uranium; 1,2,3-TCP",Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/DOUBLE_L_MHP_CONSOL.DOCX,-119.996395,36.7133135,Both,Downloaded excel data said NP as system type. Partnerships tool data only lists uranium as the issue,NA,No,No,2,Yes,GW,NA,GW,GW,15282,Community water system,4172.192308,2,NA,NA,Private ancillary,General purpose government,25.925925925925924,74.07407407407408,30.738916256157633,2.561576354679803,0,0,0,61.87192118226601,61827,47.8318227131605,52.16817728683951,13.848878809368198,0.08215997272361328,4.064639183951119,0.1090382904296576,0,80.59115999953418,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900810,JR SIMPLOT CO,NTNC,Private (other),1,300,1/7/19,NA,19-Jan,City of Lathrop,CA3910015,City,"TCR, Arsenic",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.275974,37.808651,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,26833,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,55.208333333333336,44.79166666666667,21.16788321167883,0,20.92457420924574,0,0,57.907542579075425,51563,22.27782379425129,77.72217620574872,23.417216426086203,5.313571421996376,24.249034261242333,0.05186550312681646,0.5247822753933711,42.123877182278044,NA
DISTRICT 11 - MERCED,MERCED,CA2400346,LIVINGSTON FARMERS ASSOCIATION WATER SYS,NTNC,Private (other),2,30,1/11/21,NA,21-Jan,City of livingston,CA2410004,City,ARSENIC,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.68941,37.4034798,Both,Changed system type to NTNC from NP and changed population from zero to 30 to match partnerships tool data compared to what was in the excel data,NA,No,No,2,Yes,GW,NA,GW,GW,14894,Community water system,1524.078599,1,NA,NA,Private ancillary,General purpose government,48.79679144385027,51.20320855614974,6.913429183236463,0,15.998776384215358,0,0,75.86417864790455,56047,46.4787333257367,53.5212666742633,6.29189468280874,0,20.594105793709335,4.1871273064087144e-4,0,72.7057009770499,NA
District 11 - Merced,MERCED,CA2400176,ST. PAUL LUTHERAN DAY CARE,NTNC,School,1,50,6/19/17,NA,17-Jun,City of Merced,CA2410009,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.442966,37.312162,Both,System type in yearly excel listed as NP,NA,No,No,2,Yes,GW,NA,GW,GW,87110,Community water system,52.11119133,1,NA,NB - This filters out when we eliminate jursidictions.,Public ancillary,General purpose government,17.56756756756757,82.43243243243244,55.37037037037037,1.0493827160493827,4.753086419753086,0,0,37.28395061728395,81875,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA58 - NAPA COUNTY,NAPA,CA2800548,SILVERADO PINES MOBILE HOME,C,MHP,1,255,4/20/21,NA,21-Apr,City of Napa,CA2810003,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.27294,38.2890933,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,86906,Community water system,67.36698082,2,1,NA,Private ancillary,General purpose government,50.43156596794082,49.56843403205919,60.577915376676984,0,3.4055727554179565,0,0,32.765737874097006,85744,39.46390801282715,60.53609198717284,54.541094287120494,0.7922996104401154,2.707084648614892,0.23806685958595183,0.07490403682555685,38.3785722067675,NA
LPA58 - NAPA COUNTY,NAPA,CA2800538,CARNEROS INN,C,MWC,1,30,7/20/21,NA,21-Jul,City of Napa,CA2810003,City,Exceeded GW use allowed,NA,1,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet - https://www.napa.lafco.ca.gov/uploads/documents/10-7-19_6b_CarnerosOSA-Napa.pdf",NA,No,No,2,Yes,GW,NA,GW,SW,86906,Community water system,0,1,1,NA,Nonprofit private,General purpose government,24.466019417475728,75.53398058252428,82.97101449275362,1.0144927536231882,7.971014492753622,5.072463768115942,0,2.753623188405797,119107,39.46390801282715,60.53609198717284,54.541094287120494,0.7922996104401154,2.707084648614892,0.23806685958595183,0.07490403682555685,38.3785722067675,NA
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3601094,FUJI NATURAL FOOD,NTNC,Private (other),2,75,5/16/19,NA,19-May,City of Ontario,CA3610034,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-117.559378,34.009721,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,185010,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,9.240407204385278,90.75959279561472,25.490671189726193,6.445359825539132,19.626847589047735,0,0,44.051369033196025,104736,45.76029514281767,54.23970485718231,15.386560364774146,5.305501942958897,6.048240332397882,0.3639392744070852,0.25744179809379053,70.11862693075747,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000271,BUEHNER WATER SYSTEM-WEBER COMPLEX,C,Private (other),9,30,9/21/18,NA,18-Sep,City of Patterson,CA5010017,City,E. coli in source,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.1273218,37.4842802,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,23764,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,47.00239808153477,52.99760191846523,4.630650496141125,0,0,0,0,94.37706725468577,41446,33.081283268408725,66.91871673159126,25.20299549660085,2.1782463966083885,2.2977151782287266,0.011736706696403865,0.2777067668011247,68.36889959906762,NA
DISTRICT 18 - SONOMA,SONOMA,CA4901389,PG & E LAKEVILLE SUBSTATION,NTNC,Private (other),1,50,8/16/18,NA,18-Aug,City of Petaluma,CA4910006,City,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-122.580815,38.250365,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,64251,Community water system,752.7271502,2,NA,NA,Private ancillary,General purpose government,6.906906906906906,93.09309309309309,88.56132075471697,0,8.13679245283019,0,0,3.1839622641509435,127227,38.134864008169664,61.865135991830336,66.2844261672023,1.0758467320834655,3.899259199016194,0.30803899256233025,0.03683713193099039,23.308856620275353,NA
District 09- Sacramento,EL DORADO,CA0910010,"PLACERVILLE, CITY OF - SIERRA GOLF & CC",C,City,264,320,6/20/17,NA,17-Jun,City of Placerville-Main,CA0910003,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.802628,38.728678,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SWP,10762,Community water system,NA,NA,NA,NA,Public ancillary,General purpose government,33.957845433255265,66.04215456674473,70.05714285714286,1.4285714285714286,1.4857142857142858,0,0,24.057142857142857,62338,35.50244887088942,64.49755112911058,75.19226200423599,1.267102064414872,1.3226113853681063,0.37810121383505557,0,19.28928177242484,65072.430275298335
DISTRICT 24 - TULARE,TULARE,CA5403038,SPRINGVILLE WATER CO.,C,Private (other),5,50,1/15/20173,Jan.2018,17-Jan,City of Porterville,CA5410010,City,Single source in drought prone area,Sustainability,0,0,0,0,1,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.964641,36.054012,Both,Partnership tool lists issu as single source capacity,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,163.5205761,1,NA,NA,Private - type unknown,General purpose government,63.559322033898304,36.440677966101696,69.32270916334662,0,0,0,0,30.677290836653388,20625,51.24043349510548,48.759566504894515,21.600460755646118,0.315834307964223,4.142659016090021,1.016788477202332,0.37643850428878034,70.34215765712547,NA
DISTRICT 24 - TULARE,TULARE,CA5400600,GOLDEN KEY APARTMENTS,C,Private (other),16,48,3/21/17,NA,17-Mar,City of Porterville,CA5410010,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.0356383,36.0647783,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,10.68973497,2,NA,NA,Private ancillary,General purpose government,36.332179930795846,63.667820069204154,11.656952539550375,0,0,0,0,88.34304746044963,56263,51.24043349510548,48.759566504894515,21.600460755646118,0.315834307964223,4.142659016090021,1.016788477202332,0.37643850428878034,70.34215765712547,NA
DISTRICT 24 - TULARE,TULARE,CA5403202,SALLY TRACH WATER SYSTEM,C,Private (other),10,25,5/25/17,NA,17-May,City of Porterville,CA5410010,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.017809,36.068525,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,NA,NA,NA,NA,Private - type unknown,General purpose government,53.65853658536586,46.34146341463415,5.167597765363128,0,0,0,0,94.83240223463687,18634,51.24043349510548,48.759566504894515,21.600460755646118,0.315834307964223,4.142659016090021,1.016788477202332,0.37643850428878034,70.34215765712547,NA
DISTRICT 24 - TULARE,TULARE,CA5403149,RANCHO LOPEZ WATER SYSTEM,C,Private (other),11,50,12/31/17,NA,17-Dec,City of Porterville,CA5410010,City,"Periodic bacteriological issues, single source",Multiple,0,1,0,0,1,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.984521,36.059476,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,711.9473038,3,NA,NA,Private - type unknown,General purpose government,54.956896551724135,45.043103448275865,28.028933092224236,0,1.6877637130801686,0,0.7836045810729355,67.99276672694394,21016,51.24043349510548,48.759566504894515,21.600460755646118,0.315834307964223,4.142659016090021,1.016788477202332,0.37643850428878034,70.34215765712547,NA
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400198,CARA BAY APARTMENTS,C,Private (other),85,500,3/8/18,NA,18-Mar,City of Sacramento,CA3410020,City,tetrachloroethylene,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.4360967,38.5150817,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,510931,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,76.14533965244867,23.85466034755134,8.73015873015873,4.478458049886622,58.10657596371882,0,0,28.68480725623583,23859,50.69494625027859,49.30505374972135,31.885939364401906,12.840623632749114,18.942678503118998,0.3196757950215759,1.6388382147346805,28.391462630023028,NA
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400352,ACORN MOBILE VILLAGE,C,MHP,56,100,10/18/19,NA,19-Oct,City of Sacramento Main,CA3410020,City,"PCE, monitoring",Multiple,0,1,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.4419157,38.5217128,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,510931,Community water system,47.72109866,3,1,NA,Private ancillary,General purpose government,79.87012987012987,20.12987012987013,22.11476466795616,7.607994842037395,43.004513217279175,0,0,24.629271437782077,39853,50.69494625027859,49.30505374972135,31.885939364401906,12.840623632749114,18.942678503118998,0.3196757950215759,1.6388382147346805,28.391462630023028,NA
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400468,SACRAMENTO SOFTBALL COMPLEX (SWS),NC,City,4,500,6/17/21,NA,21-Jun,CITY OF SACRAMENTO MAIN,CA3410020,City,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.386844,38.639041,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,510931,Community water system,0,1,1,NA,Public ancillary,General purpose government,34.6749226006192,65.3250773993808,40.10791366906475,2.877697841726619,0.08992805755395684,0,0,56.11510791366906,46453,50.69494625027859,49.30505374972135,31.885939364401906,12.840623632749114,18.942678503118998,0.3196757950215759,1.6388382147346805,28.391462630023028,NA
LPA70 - SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,CA4000743,UPS - SAN LUIS OBISPO,NTNC,Private (other),1,35,10/20/17,NA,17-Oct,City of San Luis Obispo,CA4010009,City,Treated for Mercury,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.642514,35.249208,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,45920,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,37.79904306220095,62.20095693779905,83.13891834570519,0,4.40084835630965,0,0,12.142099681866384,95722,65.70711509074127,34.29288490925874,68.73620223890634,2.5420494990095204,5.517233611428152,0.1877038698290232,0.02588615957950609,19.096638979912246,NA
