Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,govcat_cons,govcat_rec,Vetted_address,GEOID,NAME,Race.estimate.total.x,B03002_001M,Race.white.alone.x,B03002_003M,Race.black.alone.x,B03002_004M,Race.native.alone.x,B03002_005M,Race.asian.alone.x,B03002_006M,Race.PI.alone.x,B03002_007M,Race.hispanicorlatino.x,B03002_012M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,Households.total.x,AC_PHONE_N,AC_EMAIL,Households.total.y,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.hispanicorlatino.y,Race.native.alone.y,Race.PI.alone.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900726,BENTLEY TRAILER COURT,C,MHP,28,84,9/4/18,NA,18-Sep,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.258456,37.950917,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,10.70729565,2,1,NA,Private ancillary,IOU,2189 E Taylor St. Stockton CA 95205,060770019001,"Block Group 1, Census Tract 19, San Joaquin County, California",1085,453,12,21,129,158,0,13,0,13,0,13,944,450,54667,22499,332,117,97,58,235,98,332,408-367-8314,sjames@calwater.com,51305.0022352227,NA,15457.205156892769,14749.492020419755,164209.02438493236,99743.19564537506,240.36680453901243,357.28602568543954,28407.179051747207,51305.0022352227,21443.837051267194,29861.165183955498
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901334,BJJ COMPANY LLC,NTNC,Private (other),1,40,6/19/19,NA,19-Jun,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.2613068,37.9611702,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,NA,NA,NA,NA,Private ancillary,IOU,2431 E Mariposa Rd Stockton CA 95205,060770021002,"Block Group 2, Census Tract 21, San Joaquin County, California",1135,368,0,13,187,132,0,13,74,109,0,13,874,356,37500,25915,384,116,208,87,176,94,384,408-367-8314,sjames@calwater.com,51305.0022352227,NA,15457.205156892769,14749.492020419755,164209.02438493236,99743.19564537506,240.36680453901243,357.28602568543954,28407.179051747207,51305.0022352227,21443.837051267194,29861.165183955498
LPA67 - SAN DIEGO COUNTY,SAN DIEGO,CA3705026,ERRECA'S ASSOCIATES,NC,Private (other),7,25,8/26/19,NA,19-Aug,Lakeside WD,CA3710013,Irrigation District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.9462983,32.90652,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,35500,Community water system,512.5850887,1,NA,"PWSID was right, name wrong - changed",Private ancillary,Special district,12570 Slaughterhouse Canyon Rd. Lakeside CA 92040,060730169011,"Block Group 1, Census Tract 169.01, San Diego County, California",1262,303,1074,275,0,13,16,33,67,62,0,13,105,89,120754,25164,437,96,423,95,14,24,437,619-443-3805,BrettS@LakesideWater.org,5989.973109827838,NA,201.60238478089178,340.9591705687363,17652.09724628612,4484.780947668837,244.06758529059334,86.1531904665077,11475.530737691824,5989.973109827838,3569.5954710527876,2420.3776387750495
NA,SOLANO,CA4810701,TRAVIS AIR FORCE BASE - DISTRIBUTION,C,Federal,2104,7190,19-Jul,NA,19-Jul,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,CA4810701,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Additional cases,https://www.calwater.com/latest-news/2019-0701-regulated-water-service-to-travis-air-force-base-begins/,Yes,No,Yes,NA,Yes,NA,SWP,SWP,SWP,7190,Community water system,NA,NA,NA,NA,Public ancillary,IOU,690 Airmen Dr Travis AFB CA 94535,060952528021,"Block Group 1, Census Tract 2528.02, Solano County, California",805,283,318,174,104,74,0,13,16,26,144,168,175,81,62031,25367,158,75,0,13,158,75,158,408-367-8314,sjames@calwater.com,1082.457325526317,NA,450.4491672377482,445.40043440812593,3995.3689720557604,603.4808789833086,0,281.17539814356985,1945.8397269701754,1082.457325526317,225.7261589323942,856.7311665939228
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901330,CHEROKEE FREIGHT LINES WATER SYSTEM,NC,Private (other),1,50,9/19/19,NA,19-Sep,California Water Service- Stockton,CA3910001,IOU,bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.253866,37.991519,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,NA,NA,NA,NA,Private ancillary,IOU,3655 E CHEROKEE RD STOCKTON CA 95205,060770036012,"Block Group 2, Census Tract 36.01, San Joaquin County, California",1016,268,334,114,12,18,0,13,69,125,43,48,558,198,42708,27362,388,96,323,89,65,58,388,408-367-8314,sjames@calwater.com,51305.0022352227,NA,15457.205156892769,14749.492020419755,164209.02438493236,99743.19564537506,240.36680453901243,357.28602568543954,28407.179051747207,51305.0022352227,21443.837051267194,29861.165183955498
DISTRICT 18 - SONOMA,SONOMA,CA4910024,GEYSERVILLE WATER WORKS,C,IOU,307,1014,NA,16-Nov,16-Nov,CALIFORNIA-AMERICAN GEYSERVILLE,CA4910024,IOU,bacteriological,Quality,0,1,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-122.9045833,38.7070558,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1014,Community water system,NA,NA,NA,NA,IOU,IOU,21060 GEYSERVILLE AVENUE GEYSERVILLE CA 95441,060971541001,"Block Group 1, Census Tract 1541, Sonoma County, California",706,214,524,190,0,13,0,13,14,15,0,13,141,108,111085,22414,272,97,168,82,104,57,272,707-542-8329,margaret.digenova@amwater.com,7.470860934991975,852896.6546459021,0.3018150747266529,0,19.21146454990214,3.6145043245359862,0,0,14.141553050386456,7.470860934991975,4.905654288157333,2.565206646834642
DISTRICT 18 - SONOMA,SONOMA,CA4900890,REDWOOD ADVENTIST ACADEMY,NTNC,School,3,140,NA,17-Nov,17-Nov,CALIFORNIA-AMERICAN LARKFIELD,CA4910023,IOU,Fire impacted,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.740314,38.502131,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7524,Community water system,NA,NA,NA,NA,Public ancillary,IOU,385 Mark West Springs Road SANTA ROSA CA 95404,060971527021,"Block Group 1, Census Tract 1527.02, Sonoma County, California",1110,286,932,259,11,21,0,13,20,32,0,13,87,94,128375,27392,410,100,361,96,49,42,410,707-542-8329,margaret.digenova@amwater.com,1656.14067780887,NA,96.58310802492905,17.89767850523356,4471.043846999117,1062.268810031641,0,15.188987244001547,3048.9980485589585,1656.14067780887,1184.8324114975476,471.308266311322
DISTRICT 05 - MONTEREY,MONTEREY,CA2710706,CAMP ROBERTS WELL 6A,NC,State,6,115,3/2/18,NA,18-Mar,Camp Roberts-National Guard,CA2710705,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.6681888,36.6810245,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,385,Non-Transient non-community system,NA,NA,NA,Not in top 50,Public ancillary,Public ancillary,6303 Montana Rd. San Miguel CA 93451,060790100162,"Block Group 2, Census Tract 100.16, San Luis Obispo County, California",2536,681,619,276,0,13,0,13,52,44,0,13,1824,712,63171,5638,715,155,404,125,311,129,715,805-238-8600,jubilee.satele.nfg@mail.mil,15.243683064184356,1072440.0352673267,0.7573798192518613,6.2433815801169015,56.28808721591119,6.158251569099324,0.19529885271171166,0.2526945375349608,40.23317154999569,15.243683064184356,13.0675975299509,2.176085534233457
District 11 - Merced,MERCED,CA2410306,CDPR-MEDEIROS,NC,State,3,0,4/25/18,NA,18-Apr,CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one),CA2410305,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.0236627,37.06508001,Both,Changed system type to NC (in tool) from NP (in excel data) and also changed population served to zero was 540 listed as ish in excel data. Look into if this should be listed as regionalization,NA,No,No,3,CDPR,SWP,NA,SWP,SWP,171,Transient non-community system,NA,NA,NA,NA,Public ancillary,Public ancillary,28960 Gonzaga Rd. Santa Nella CA 95322,060470021001,"Block Group 1, Census Tract 21, Merced County, California",1715,569,728,298,0,13,0,13,0,13,20,39,948,473,53150,16684,509,149,185,83,324,131,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 11 - Merced,MERCED,CA2410307,CDPR-DINOSAUR POINT,NC,State,3,0,4/25/18,NA,18-Apr,CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one),CA2410305,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.211628,37.065095,Both,"Three park systems consolidated into one says excel yearly data, system type listed as NP and I changed the population served to zero to match partnerships tool data, there was a number around 300 I think in excel data originally. Look into if this shoudl be listed as regionalization",NA,No,No,3,CDPR,SWP,NA,SWP,SWP,171,Transient non-community system,NA,NA,NA,NA,Public ancillary,Public ancillary,38787 Dinosaur Point Rd. Hollister CA 95023,060855135001,"Block Group 1, Census Tract 5135, Santa Clara County, California",1225,274,644,213,10,15,0,13,116,124,0,13,435,215,121213,27062,347,54,251,50,96,48,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 11 - Merced,MARIPOSA,CA2202048,INDIAN FLAT R V PARK AND CAMPGROUND,NC,MHP,53,100,3/14/17,NA,17-Mar,Cedar Lodge Resort,CA2210900,Private (other),TCR/Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.848992,37.661214,Both,Excelle data sheets listed type as NP,NA,No,No,2,Yes,GW,NA,GW,GW,656,Community water system,155.9817901,1,NA,NA,Private ancillary,Private ancillary,9988 CA-140 El Portal CA 95318,060430003021,"Block Group 1, Census Tract 3.02, Mariposa County, California",534,211,323,104,0,13,105,112,0,13,0,13,93,138,40469,27456,267,94,199,77,68,73,267,831-786-1980,jfischer@yosemiteresorts.net,0.03286956632782016,1330.1984797205541,0,0,0.06573913265564033,0.01144895006924073,0.012926233949142761,0,0.03976355776736297,0.03286956632782016,0.024498291008375327,0.008371275319444836
District 23 - Fresno,FRESNO,CA1000207,CENTRAL WEST ARTS CENTER,C,School,7,56,12/11/18,NA,18-Dec,Central High School West,CA1000217,School,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.9873046,36.7647094,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1127,Non-Transient non-community system,1180.760907,2,NA,NA,Public ancillary,Public ancillary,10950 W MCKINLEY FRESNO CA 93722,060190041001,"Block Group 1, Census Tract 41, Fresno County, California",1880,557,813,226,30,36,0,13,139,121,0,13,817,534,54022,24001,578,121,360,79,218,111,578,559-274-4700,josephmartinez@centralusd.k12.ca.us,1.6613734320529419,NA,0.39639235206096474,0.08555230620020822,5.402612137858584,2.346650142020346,0,0,2.3430261108365023,1.6613734320529419,1.033604094790477,0.6277693372624651
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000077,CERES WEST MHP,C,MHP,46,161,8/21/20,NA,20-Aug,"CERES, CITY OF",CA5010028,City,"Arsenic and 1,2,3-TCP MCL Drinking Water Violations",Quality,0,1,0,0,0,Private,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/CERES_STORY_ACC.PDF,-120.9578627,37.5657347,Both,Excel data said system type of NP,NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,971.3157508,5,NA,NA,Private ancillary,General purpose government,2048 E GRAYSON ROAD CERES CA 95307,060990030021,"Block Group 1, Census Tract 30.02, Stanislaus County, California",1581,712,425,287,0,13,0,13,45,69,0,13,1085,715,67174,11031,409,164,248,124,161,112,409,209-538-5717,jeremy.damas@ci.ceres.ca.us,10371.079726585911,NA,1041.3609887284244,939.3035417713037,36077.15634746474,22902.646934430075,280.2132803123422,264.020463177394,9839.018825878551,10371.079726585911,5845.422427253805,4525.657299332102
District 12 - Visalia,KERN,CA1500508,TWIN PINES MOBILEHOME PARK,C,MHP,40,92,6/5/17,NA,17-Jun,City of Bakersfield,CA1510031,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.081399,35.382306,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,149796,Community water system,15.03698165,2,1,NA,Private ancillary,General purpose government,15 Wedding Ln. Bakersfield CA 93315,060290005072,"Block Group 2, Census Tract 5.07, Kern County, California",1576,540,752,269,1,9,0,13,108,105,0,13,491,344,68600,15269,506,144,357,134,149,88,506,408-367-8314,sjames@calwater.com,46567.0538591939,NA,14984.920436328093,7885.0486142740165,142581.806306452,57116.32701478653,369.89802676113794,315.82518168871434,56645.768007666265,46567.0538591939,31114.638060288577,15452.415798905338
LPA37- Contra Costa County,CONTRA COSTA,CA0706108,LONE TREE MEDICAL & DENTAL,NC,Private (other),2,45,8/2/18,NA,18-Aug,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.744998,37.960949,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,65118,Community water system,1522.171266,3,1,NA,Private ancillary,General purpose government,6061 Lone Tree Way Brentwood CA 94513,060133032092,"Block Group 2, Census Tract 3032.09, Contra Costa County, California",2623,864,617,292,37,71,19,29,860,543,0,13,1033,824,106652,41718,660,263,527,264,133,76,660,925-516-6025,jwolfe@brentwoodca.gov,16666.782088092947,NA,5402.7092721641575,4743.067758466107,51574.99137836428,11613.368816686752,285.35321638532025,271.1034382140362,26226.25233838334,16666.782088092947,12853.877288430482,3812.9047996624636
LPA37- Contra Costa County,CONTRA COSTA,CA0707557,NEIGHBORHOOD CHURCH,NTNC,Private (other),2,250,4/22/19,NA,19-Apr,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.690034,37.931527,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,65118,Community water system,NA,NA,NA,NA,Private ancillary,General purpose government,50 Birch St. Brentwood 94513,060133031072,"Block Group 2, Census Tract 3031.07, Contra Costa County, California",1913,505,829,371,216,194,140,107,0,13,117,149,536,353,87546,43879,567,145,295,126,272,130,567,925-516-6025,jwolfe@brentwoodca.gov,16666.782088092947,NA,5402.7092721641575,4743.067758466107,51574.99137836428,11613.368816686752,285.35321638532025,271.1034382140362,26226.25233838334,16666.782088092947,12853.877288430482,3812.9047996624636
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000308,B & H MANUFACTURING,NTNC,Private (other),1,90,3/29/17,NA,17-Mar,City of Ceres,CA5010028,City,"Arsenic, coliform",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9658357,37.5349485,Both,"Coliform not listed on excel data but on tool, too lists coliform and arsenic as issues",NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,4066.801696,7,NA,NA,Private ancillary,General purpose government,3461 Roeding Rd Ceres CA 95307,060990030041,"Block Group 1, Census Tract 30.04, Stanislaus County, California",2192,1738,1176,908,0,13,29,52,29,55,0,13,958,931,NA,NA,529,302,431,317,98,63,529,209-538-5717,jeremy.damas@ci.ceres.ca.us,10371.079726585911,NA,1041.3609887284244,939.3035417713037,36077.15634746474,22902.646934430075,280.2132803123422,264.020463177394,9839.018825878551,10371.079726585911,5845.422427253805,4525.657299332102
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000484,UNITED PALLET SERVICES INC WATER SYSTEM,NTNC,Private (other),5,45,9/24/18,NA,18-Sep,City of Ceres,CA5010028,City,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9942852,37.5788277,Both,Excel data said system type was NC,NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,1280.519084,2,NA,NA,Private ancillary,General purpose government,4043 Crows Landing Rd Modesto CA 95358,060990031003,"Block Group 3, Census Tract 31, Stanislaus County, California",2184,565,817,267,0,13,25,23,163,231,0,13,1172,459,43864,22952,742,170,329,112,413,178,742,209-538-5717,jeremy.damas@ci.ceres.ca.us,10371.079726585911,NA,1041.3609887284244,939.3035417713037,36077.15634746474,22902.646934430075,280.2132803123422,264.020463177394,9839.018825878551,10371.079726585911,5845.422427253805,4525.657299332102
District 21 - Valley,COLUSA,CA0600011,DEL ORO WATER CO.-WALNUT RANCH,C,IOU,78,182,4/6/17,NA,17-Apr,City of Colusa,CA0610002,City,Arsenic/Failing wells,Multiple,1,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/delorowalnut.pdf,-122.022335,39.20228,Both,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,6175,Community water system,NA,NA,NA,NA,IOU,General purpose government,316 Walnut Tree Dr. Colusa CA 95932,060110002003,"Block Group 3, Census Tract 2, Colusa County, California",1251,362,286,100,0,13,0,13,0,13,0,13,923,358,63841,7947,408,108,316,94,92,78,408,530-458-4941,citymanager@cityofcolusa.com,1530.8015217571333,NA,29.058209318475303,111.44780064879724,3884.5879193851492,2026.128512073391,8.169805292853187,0.03656938719366434,1585.4304336627167,1530.8015217571333,887.2897718988479,643.511749858285
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200516,LAZY CORRAL MOBILE HOME PARK,C,MHP,37,103,3/15/21,NA,21-Mar,CITY OF CORNING,CA5210001,City,BACTERIOLOGICAL,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.1959048,39.9212578,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7663,Community water system,140.6128615,2,NA,NA,Private ancillary,General purpose government,2120 FIG LANE CORNING CA 96021,061030011022,"Block Group 2, Census Tract 11.02, Tehama County, California",1624,685,467,227,0,13,19,26,52,83,0,13,1033,633,26353,10170,790,271,269,145,521,236,790,530-824-7025,rkampmann@corning.org,745.0160054376943,32063585.96352685,22.357111061516548,15.679783804801529,1927.6539132549499,930.4305844131554,39.88389605162224,1.0084533500362696,771.9998643121187,745.0160054376943,386.78094898926173,358.2350564484326
District 01 - Klamath,HUMBOLDT,CA1200698,MOBILE ESTATES FN,C,MHP,66,120,6/26/17,NA,17-Jun,City of Eureka,CA1210004,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-124.063488,40.842738,Both,Receiving system name listed as placerville city in excel data but that makes no sense and system number in web tool links to Eureka so put that,NA,No,No,2,Yes,GW,NA,GW,GWP,27078,Community water system,2893.44254,2,NA,NA,Private ancillary,General purpose government,7660 MYRTLE AVE EUREKA CA 90274,060230005001,"Block Group 1, Census Tract 5, Humboldt County, California",1412,267,809,240,184,133,36,34,39,50,0,13,237,188,34688,8154,477,135,112,77,365,120,477,707-441-4360,mphansen@ci.eureka.ca.gov,12949.657316702936,NA,1825.7642388015806,635.9962821944138,31284.459427962764,4496.374988552362,542.6912559661367,61.73265648475771,21372.341679361383,12949.657316702936,6136.140261690988,6813.5170550119465
DISTRICT 04 - SAN FRANCISCO,SOLANO,CA4810037,SOLANO COUNTY CORDELIA STATE,NC,County (other),1,30,5/3/19,NA,19-May,City of Fairfield,CA4810003,City,Arsenic,Quality,0,1,0,0,0,Solano County,Voluntary Consolidation,Physical,Voluntary,NA,-122.1062682,38.2312779,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,112140,Community water system,416.1414302,1,NA,NA,Public ancillary,General purpose government,2543 CORDELIA RD FAIRFIELD CA 94534-1676,060952523051,"Block Group 1, Census Tract 2523.05, Solano County, California",1682,542,673,389,53,82,0,13,676,323,0,13,192,137,106927,17340,559,170,324,140,235,97,559,707-428-7485,MHether@fairfield.ca.gov,27742.588866558093,NA,11638.618295815264,13877.852229760343,85106.46182074725,29050.405616607764,420.2599682791047,1231.7695638014325,23794.352586464003,27742.588866558093,15625.118179454828,12117.47068710327
District 23 - Fresno,FRESNO,CA1000624,SUNNYSIDE MARKET,NC,Private (other),2,429,9/5/17,NA,17-Sep,City of Fresno,CA1010007,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.6628067,36.7506917,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,113.6821938,1,NA,NA,Private ancillary,General purpose government,7064 E. Belmont FRESNO CA 93727,060190059043,"Block Group 3, Census Tract 59.04, Fresno County, California",2602,627,1129,282,16,27,0,13,481,328,0,13,749,409,97917,31181,831,209,761,218,70,49,831,559-621-5314,BUD.TICKEL@FRESNO.GOV,157518.68399693802,NA,61817.35231852884,32806.8757874656,482427.93191215984,241280.07993428223,2254.160088833587,677.4033909373359,130669.83423629818,157518.68399693802,74306.4616785449,83212.22231839321
District 11 - Merced,FRESNO,NA,DALEVILLE (Individual Homes),NA,Domestic wells,42,120,10/1/18,Dec.2018,18-Oct,City of Fresno,CA1010007,City,"Nitrate, uranium, drought supply shortages",Multiple,0,1,0,1,0,DWR / CAA,Domestic well consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/daleville.pdf,-119.7875425,36.7665762,Both,Changed pop and connections numbers based on story in consoldiation success story.,NA,No,No,1P,Yes,NA,NA,GW,SW,541990,Community water system,NA,NA,NA,NA,Domestic wells,General purpose government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559-621-5314,BUD.TICKEL@FRESNO.GOV,157518.68399693802,NA,61817.35231852884,32806.8757874656,482427.93191215984,241280.07993428223,2254.160088833587,677.4033909373359,130669.83423629818,157518.68399693802,74306.4616785449,83212.22231839321
District 23 - Fresno,FRESNO,CA1000276,ORANGE CENTER SCHOOL,NTNC,School,3,410,6/27/19,NA,19-Jun,City of Fresno,CA1010007,City,Lead,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.780911,36.682749,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,325.9947466,2,NA,NA,Public ancillary,General purpose government,3530 S CHERRY FRESNO CA 93706,060190018001,"Block Group 1, Census Tract 18, Fresno County, California",1305,340,240,132,10,13,0,13,79,84,0,13,937,304,66023,38865,354,103,154,53,200,104,354,559-621-5314,BUD.TICKEL@FRESNO.GOV,157518.68399693802,NA,61817.35231852884,32806.8757874656,482427.93191215984,241280.07993428223,2254.160088833587,677.4033909373359,130669.83423629818,157518.68399693802,74306.4616785449,83212.22231839321
DISTRICT 23 - FRESNO,FRESNO,CA1000496,COPPER RIVER COUNTRY CLUB,NTNC,Private (other),1,125,8/30/21,NA,21-Aug,CITY OF FRESNO,CA1010007,City,"1,2,3 TCP",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet. Got  more info from regional board staff on April 20 2022",NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,1155.321832,1,1,NA,Private ancillary,General purpose government,2140 E. Clubhouse Drive FRESNO CA 93730,060190055032,"Block Group 2, Census Tract 55.03, Fresno County, California",2241,731,844,381,20,34,0,13,1212,589,0,13,139,110,157800,68528,850,219,746,209,104,94,850,559-621-5314,BUD.TICKEL@FRESNO.GOV,157518.68399693802,NA,61817.35231852884,32806.8757874656,482427.93191215984,241280.07993428223,2254.160088833587,677.4033909373359,130669.83423629818,157518.68399693802,74306.4616785449,83212.22231839321
DISTRICT 23 - FRESNO,FRESNO,CA1000646,E-Z TRIP,NP,Private (other),2,25,9/21/21,NA,21-Sep,City of Fresno,CA1010007,City,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet, Fiarly psoitive would be with Fresno city but double check",NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,150.5809507,1,NA,NA,Private ancillary,General purpose government,6639 Parkway Drive FRESNO CA 93722,060190042152,"Block Group 2, Census Tract 42.15, Fresno County, California",2582,640,892,369,38,31,0,13,556,227,0,13,751,437,91372,13837,707,160,548,153,159,91,707,559-621-5314,BUD.TICKEL@FRESNO.GOV,157518.68399693802,NA,61817.35231852884,32806.8757874656,482427.93191215984,241280.07993428223,2254.160088833587,677.4033909373359,130669.83423629818,157518.68399693802,74306.4616785449,83212.22231839321
District 23 - Fresno,FRESNO,CA1000512,YERGAT PACKING COMPANY,NTNC,Private (other),2,150,NA,June.2019,22-Jun,CITY OF FRESNO,CA1010007,City,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.76196,36.6988433,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,0,1,1,NB -- This disappears when we filter out jurisdictional boundaries. There is no match without jurisdictional boundaries,Private ancillary,General purpose government,2797 S ORANGE FRESNO CA 93725,060190015001,"Block Group 1, Census Tract 15, Fresno County, California",703,323,117,75,3,4,0,13,169,218,0,13,414,182,45208,8179,169,71,119,56,50,44,169,559-621-5314,BUD.TICKEL@FRESNO.GOV,157518.68399693802,NA,61817.35231852884,32806.8757874656,482427.93191215984,241280.07993428223,2254.160088833587,677.4033909373359,130669.83423629818,157518.68399693802,74306.4616785449,83212.22231839321
District 23 - Fresno,FRESNO,CA1000248,DOUBLE L MOBILE RANCH PARK,C,MHP,37,80,4/16/20,NA,20-Apr,City of Kerman,CA1010018,City,"Uranium; 1,2,3-TCP",Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/DOUBLE_L_MHP_CONSOL.DOCX,-119.996395,36.7133135,Both,Downloaded excel data said NP as system type. Partnerships tool data only lists uranium as the issue,NA,No,No,2,Yes,GW,NA,GW,GW,15282,Community water system,4172.192308,2,NA,NA,Private ancillary,General purpose government,11470 W CHURCH AVE FRESNO CA 93706,060190039005,"Block Group 5, Census Tract 39, Fresno County, California",1015,506,312,124,26,41,0,13,0,13,0,13,628,501,61827,9535,297,97,220,81,77,56,297,559-846-6122,mbarajas@cityofkerman.org,1778.3709901978457,NA,260.9402089441985,5.2744756617017154,6419.76316063917,5173.761600381866,6.9999999999939035,0,889.065219965384,1778.3709901978457,927.7437309841355,850.6272592137104
