"Regulating_agency","County","SystemID","System_Name","System_Type","Institution_type","Connections","Population","Inactivation_Date","Activity_date_from_tool","Date_combined","Receiving_Water_System","Receiving_System_ID","Receiving_System_Institution_Type","Issue_SWRCB","Issue_summary","Issue_capacity","Issue_quality","Issue_TMF","Issue_disaster","Issue_sustainability","Funding_Source","Consolidation_Type","Physical_or_Mangerial","Mandatory_or_voluntary","Story_link","long","lat","Data_source","Notes","Notes_Suzanne","Remove?","2016_proxydata_pop_con_type_county","Number_systems_involved","Unique_project","Consolidatedsystem_primary_source_combined","EPA_2021_source","Consolidatedsystem_primary_source_combinedFINAL","Receiving_2021_source","Receiving_2021_pop","Receiving_2021_systemtype","Distance(m)","Prox_ord","CES_Receiving_Polygon","DistNote","govcat_cons","govcat_rec"
"DISTRICT 23 - FRESNO","FRESNO","CA1000496","COPPER RIVER COUNTRY CLUB","NTNC","Private (other)",1,125,"8/30/21",NA,"21-Aug","CITY OF FRESNO","CA1010007","City","1,2,3 TCP","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,NA,NA,"Excel","Recently done,  not in partnership tool yet. Got  more info from regional board staff on April 20 2022",NA,"No","No","2","Yes","GW",NA,"GW","SW",541990,"Community water system",1155.321832,1,1,NA,"Private ancillary","General purpose government"
"DISTRICT 23 - FRESNO","FRESNO","CA1000646","E-Z TRIP","NP","Private (other)",2,25,"9/21/21",NA,"21-Sep","City of Fresno","CA1010007","City","NONE","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,NA,NA,"Excel","Recently done,  not in partnership tool yet, Fiarly psoitive would be with Fresno city but double check",NA,"No","No","2","Yes","GW",NA,"GW","SW",541990,"Community water system",150.5809507,1,NA,NA,"Private ancillary","General purpose government"
"District 23 - Fresno","FRESNO","CA1000512","YERGAT PACKING COMPANY","NTNC","Private (other)",2,150,NA,"June.2019","22-Jun","CITY OF FRESNO","CA1010007","City","Coliform","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.76196,36.6988433,"Tool",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",541990,"Community water system",0,1,1,"NB -- This disappears when we filter out jurisdictional boundaries. There is no match without jurisdictional boundaries","Private ancillary","General purpose government"
"District 23 - Fresno","FRESNO","CA1000248","DOUBLE L MOBILE RANCH PARK","C","MHP",37,80,"4/16/20",NA,"20-Apr","City of Kerman","CA1010018","City","Uranium; 1,2,3-TCP","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary","HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/DOUBLE_L_MHP_CONSOL.DOCX",-119.996395,36.7133135,"Both","Downloaded excel data said NP as system type. Partnerships tool data only lists uranium as the issue",NA,"No","No","2","Yes","GW",NA,"GW","GW",15282,"Community water system",4172.192308,2,NA,NA,"Private ancillary","General purpose government"
"LPA69 - SAN JOAQUIN COUNTY","SAN JOAQUIN","CA3900810","JR SIMPLOT CO","NTNC","Private (other)",1,300,"1/7/19",NA,"19-Jan","City of Lathrop","CA3910015","City","TCR, Arsenic","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.275974,37.808651,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",26833,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 11 - MERCED","MERCED","CA2400346","LIVINGSTON FARMERS ASSOCIATION WATER SYS","NTNC","Private (other)",2,30,"1/11/21",NA,"21-Jan","City of livingston","CA2410004","City","ARSENIC","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.68941,37.4034798,"Both","Changed system type to NTNC from NP and changed population from zero to 30 to match partnerships tool data compared to what was in the excel data",NA,"No","No","2","Yes","GW",NA,"GW","GW",14894,"Community water system",1524.078599,1,NA,NA,"Private ancillary","General purpose government"
"District 11 - Merced","MERCED","CA2400176","ST. PAUL LUTHERAN DAY CARE","NTNC","School",1,50,"6/19/17",NA,"17-Jun","City of Merced","CA2410009","City","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.442966,37.312162,"Both","System type in yearly excel listed as NP",NA,"No","No","2","Yes","GW",NA,"GW","GW",87110,"Community water system",52.11119133,1,NA,"NB - This filters out when we eliminate jursidictions.","Public ancillary","General purpose government"
"LPA58 - NAPA COUNTY","NAPA","CA2800548","SILVERADO PINES MOBILE HOME","C","MHP",1,255,"4/20/21",NA,"21-Apr","City of Napa","CA2810003","City","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.27294,38.2890933,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",86906,"Community water system",67.36698082,2,1,NA,"Private ancillary","General purpose government"
"LPA58 - NAPA COUNTY","NAPA","CA2800538","CARNEROS INN","C","MWC",1,30,"7/20/21",NA,"21-Jul","City of Napa","CA2810003","City","Exceeded GW use allowed",NA,1,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,NA,NA,"Excel","Recently done,  not in partnership tool yet - https://www.napa.lafco.ca.gov/uploads/documents/10-7-19_6b_CarnerosOSA-Napa.pdf",NA,"No","No","2","Yes","GW",NA,"GW","SW",86906,"Community water system",0,1,1,NA,"Nonprofit private","General purpose government"
"LPA66 - SAN BERNARDINO COUNTY","SAN BERNARDINO","CA3601094","FUJI NATURAL FOOD","NTNC","Private (other)",2,75,"5/16/19",NA,"19-May","City of Ontario","CA3610034","City","Nitrate","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-117.559378,34.009721,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SWP",185010,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"LPA80 - STANISLAUS COUNTY","STANISLAUS","CA5000271","BUEHNER WATER SYSTEM-WEBER COMPLEX","C","Private (other)",9,30,"9/21/18",NA,"18-Sep","City of Patterson","CA5010017","City","E. coli in source","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-121.1273218,37.4842802,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",23764,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 18 - SONOMA","SONOMA","CA4901389","PG & E LAKEVILLE SUBSTATION","NTNC","Private (other)",1,50,"8/16/18",NA,"18-Aug","City of Petaluma","CA4910006","City","None","None",0,0,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-122.580815,38.250365,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",64251,"Community water system",752.7271502,2,NA,NA,"Private ancillary","General purpose government"
"District 09- Sacramento","EL DORADO","CA0910010","PLACERVILLE, CITY OF - SIERRA GOLF & CC","C","City",264,320,"6/20/17",NA,"17-Jun","City of Placerville-Main","CA0910003","City","DBPs","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.802628,38.728678,"Both",NA,NA,"No","No","2","Yes","SWP",NA,"SWP","SWP",10762,"Community water system",NA,NA,NA,NA,"Public ancillary","General purpose government"
"DISTRICT 24 - TULARE","TULARE","CA5403038","SPRINGVILLE WATER CO.","C","Private (other)",5,50,"1/15/20173","Jan.2018","17-Jan","City of Porterville","CA5410010","City","Single source in drought prone area","Sustainability",0,0,0,0,1,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-118.964641,36.054012,"Both","Partnership tool lists issu as single source capacity",NA,"No","No","2","Yes","GW",NA,"GW","GW",65702,"Community water system",163.5205761,1,NA,NA,"Private - type unknown","General purpose government"
"DISTRICT 24 - TULARE","TULARE","CA5400600","GOLDEN KEY APARTMENTS","C","Private (other)",16,48,"3/21/17",NA,"17-Mar","City of Porterville","CA5410010","City","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.0356383,36.0647783,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",65702,"Community water system",10.68973497,2,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 24 - TULARE","TULARE","CA5403202","SALLY TRACH WATER SYSTEM","C","Private (other)",10,25,"5/25/17",NA,"17-May","City of Porterville","CA5410010","City","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.017809,36.068525,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",65702,"Community water system",NA,NA,NA,NA,"Private - type unknown","General purpose government"
"DISTRICT 24 - TULARE","TULARE","CA5403149","RANCHO LOPEZ WATER SYSTEM","C","Private (other)",11,50,"12/31/17",NA,"17-Dec","City of Porterville","CA5410010","City","Periodic bacteriological issues, single source","Multiple",0,1,0,0,1,"SWRCB","Voluntary Consolidation","Physical","Voluntary",NA,-118.984521,36.059476,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",65702,"Community water system",711.9473038,3,NA,NA,"Private - type unknown","General purpose government"
"LPA64 - SACRAMENTO COUNTY","SACRAMENTO","CA3400198","CARA BAY APARTMENTS","C","Private (other)",85,500,"3/8/18",NA,"18-Mar","City of Sacramento","CA3410020","City","tetrachloroethylene","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-121.4360967,38.5150817,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",510931,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"LPA64 - SACRAMENTO COUNTY","SACRAMENTO","CA3400352","ACORN MOBILE VILLAGE","C","MHP",56,100,"10/18/19",NA,"19-Oct","City of Sacramento Main","CA3410020","City","PCE, monitoring","Multiple",0,1,1,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.4419157,38.5217128,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",510931,"Community water system",47.72109866,3,1,NA,"Private ancillary","General purpose government"
"LPA64 - SACRAMENTO COUNTY","SACRAMENTO","CA3400468","SACRAMENTO SOFTBALL COMPLEX (SWS)","NC","City",4,500,"6/17/21",NA,"21-Jun","CITY OF SACRAMENTO MAIN","CA3410020","City","NONE","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.386844,38.639041,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",510931,"Community water system",0,1,1,NA,"Public ancillary","General purpose government"
"LPA70 - SAN LUIS OBISPO COUNTY","SAN LUIS OBISPO","CA4000743","UPS - SAN LUIS OBISPO","NTNC","Private (other)",1,35,"10/20/17",NA,"17-Oct","City of San Luis Obispo","CA4010009","City","Treated for Mercury","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-120.642514,35.249208,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","SW",45920,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 06 - SANTA BARBARA","VENTURA","CA5601206","LIMONEIRA CO. - MCKEVETT","C","Private (other)",9,36,"2/1/17",NA,"17-Feb","City of Santa Paula Water Dept.","CA5610011","City","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.0408133,34.362875,"Both",NA,NA,"No","No","2","Yes","GWP",NA,"GWP","GW",29321,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 18 - SONOMA","SONOMA","CA4901439","CENTRO CHRISTIANO EVANGELISTICO","NTNC","Private (other)",3,36,"9/19/18",NA,"18-Sep","City of Santa Rosa","CA4910009","City","Operating without a permit",NA,NA,NA,NA,NA,NA,"private","Voluntary Consolidation","Physical","Voluntary",NA,-122.737424,38.428867,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",173648,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 18 - SONOMA","SONOMA","CA4901410","STOP N SAVE","NC","Private (other)",1,50,"3/28/19",NA,"19-Mar","City of Santa Rosa","CA4910009","City","No Permit, single source capacity","Multiple",1,0,1,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-122.768644,38.420033,"Both","No permit came from excel data for issue whereas partnership tool said single source capacity",NA,"No","No","2","Yes","GW",NA,"GW","GW",173648,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"LPA87 - YOLO COUNTY","YOLO","CA5700600","FAST & EASY MART #54 - WATER","NC","Private (other)",1,100,"11/18/19",NA,"19-Nov","City of Winters","CA5710005","City","bacteriological issues","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.956556,38.530616,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",7417,"Community water system",1561.264685,2,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 24 - TULARE","TULARE","CA5403010","VISALIA CITRUS PACKERS-WOODLAKE","NTNC","Private (other)",3,150,"5/26/17",NA,"17-May","City of Woodlake","CA5410020","City","Nitrate","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.1314448,36.4131647,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",7950,"Community water system",NA,NA,NA,NA,"Private ancillary","General purpose government"
"LPA87 - YOLO COUNTY","YOLO","CA5700770","KENTUCKY AVENUE INDUSTRIAL","NC","Private (other)",5,20,"12/3/18",NA,"18-Dec","City of Woodland","CA5710006","City","Nitrate","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-121.7738017,38.69236,"Both","Excel data listed system type as NP",NA,"No","No","2","Yes","GW",NA,"GW","GW",60978,"Community water system",32.68915922,1,1,NA,"Private ancillary","General purpose government"
"LPA87 - YOLO COUNTY","YOLO","CA5700649","WESTUCKY WATER ASSOC","C","Private (other)",15,33,"6/26/19",NA,"19-Jun","City of Woodland","CA5710006","City","Chromium VI, Nitrate, Bacti","Quality",0,1,0,0,0,"CDBG","Voluntary Consolidation","Physical","Voluntary",NA,-121.7852554,38.69291977,"Both","bacteria not listed as an issue in partnerships tool data",NA,"No","No","2","Yes","GW",NA,"GW","GW",60978,"Community water system",72.11583822,1,1,NA,"Private - type unknown","General purpose government"
"DISTRICT 21 - VALLEY","SUTTER","CA5100176","CALVARY CHRISTIAN CENTER","NTNC","Private (other)",1,245,"10/22/18",NA,"18-Oct","City of Yuba City","CA5110002","City","historic nitrate, low level perchlorate","Quality",0,1,0,0,0,"private","Voluntary Consolidation","Physical","Voluntary",NA,-121.664779,-121.664779,"Both","Instead of what is listed for issues here the partnership tool says low level nitrate",NA,"No","No","2","Yes","GW",NA,"GW","SW",73202,"Community water system",949.5993908,1,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 21 - VALLEY","SUTTER","CA5105009","SIKH TEMPLE GURDWARA","NC","Private (other)",1,250,"9/28/20",NA,"20-Sep","CITY OF YUBA CITY","CA5110002","City","Nitrate","Quality",0,1,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-121.663289,39.16305,"Both","Partnership tool lists no issues instead of nitrate",NA,"No","No","2","Yes","GW",NA,"GW","SW",73202,"Community water system",1131.337294,1,NA,NA,"Private ancillary","General purpose government"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700516","LAKE COUNTY CSA 16 - PARADISE VALLEY","C","CSA",72,133,"5/29/19",NA,"19-May","Clearlake Oaks CWD","CA1710001","County Water District","Inadequate source capacity","Capacity",1,0,0,0,0,"IRWM, System funds","Voluntary Consolidation","Physical","Voluntary",NA,-122.753025,39.04182,"Both","excel listed service connections is 72",NA,"No","No","2","Yes","GW",NA,"GW","SW",2359,"Community water system",2899.864363,5,NA,NA,"General purpose government","Special district"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3301566","LAKE CAHUILLA COUNTY PARK","NC","County (other)",61,500,"8/10/17",NA,"17-Aug","Coachella Valley Water District:  Cove Community","CA3310001","County Water District","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-116.276955,33.630365,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",297500,"Community water system",NA,NA,NA,NA,"Public ancillary","Special district"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3301153","CVUSD, WESTSIDE SCHOOL","NTNC","School",11,975,"2/10/21",NA,"21-Feb","COACHELLA VWD: COVE COMMUNITY","CA3310001","County Water District","CHROMIUM 6, COLIFORM","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary",NA,-116.229993,33.641433,"Both","Partnership tool just lists coliform",NA,"No","No","5","Coachella","GW",NA,"GW","GW",297500,"Community water system",0,1,1,NA,"Public ancillary","Special district"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3301276","THERMAL MUTUAL WATER COMPANY","C","MWC",36,100,"2/10/21",NA,"21-Feb","COACHELLA VWD: COVE COMMUNITY","CA3310001","County Water District","CHROMIUM 6, COLIFORM","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary",NA,-116.2118438,33.65657888,"Both","Excel data said chromium was issue, partnerships tool said Coliform listing both here",NA,"No","No","5","Coachella","GW",NA,"GW","GW",297500,"Community water system",0,1,1,NA,"Nonprofit private","Special district"
"DISTRICT 20 - RIVERSIDE","IMPERIAL","CA1310011","COACHELLA VWD: I.D. NO. 11","C","County Water District",2776,7500,"2/25/21",NA,"21-Feb","COACHELLA VWD: COVE COMMUNITY","CA3310001","County Water District","None","None",0,0,0,0,0,"SWRCB","Regionalization","Physical","Voluntary",NA,NA,NA,"Excel","Recently done,  not in partnership tool yet",NA,"No","No","5","Coachella","GW",NA,"GW","GW",297500,"Community water system",0,1,1,NA,"Special district","Special district"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3303100","OASIS GARDENS WATER CO.","NC","MHP",160,314,"3/9/21",NA,"21-Mar","COACHELLA VWD: COVE COMMUNITY","CA3310001","County Water District","ARSENIC, CHROMIUM 6","Quality",0,1,0,0,0,"SWRCB","Regionalization","Physical","Voluntary",NA,-116.1504896,33.549898,"Both","Excel data had different receiving system ID number (CA3310002) but tool has this one and based on internet research that is the correct one",NA,"No","No","5","Coachella","GW",NA,"GW","GW",297500,"Community water system",90.07701962,2,1,NA,"Private ancillary","Special district"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700544","COBB AREA CWD - BONANZA SPRINGS","C","CSA",180,594,"8/18/18","Aug.2018","18-Aug","Cobb Area County Water District","CA1710012","County Water District","Fire impacts","Disaster",0,0,0,1,0,"SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf",-122.698112,38.8619308,"Both","On yearly excel sheets listed as none for issues. Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that). Made date aug 18, 2018 based on success story",NA,"No","No","9","Cobb","GW",NA,"GW","GW",3308,"Community water system",2625.212513,5,NA,NA,"General purpose government","Special district"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700501","ADAMS SPRINGS WATER DISTRICT","C","Water District",77,99,"8/18/18","Aug.2018","18-Aug","Cobb Area County Water District","CA1710012","County Water District","historic E.coli issues and source capacity","Multiple",1,1,0,0,0,"TA/SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf",-122.7276252,38.84671579,"Both","Changed date to match others and what is in success story but originally said june",NA,"No","No","9","Cobb","GWP",NA,"GWP","GW",3308,"Community water system",10.14807361,2,NA,NA,"Special district","Special district"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700526","PINE GROVE WATER SYSTEM","C","Private (other)",90,352,"8/18/18","Aug.2018","18-Aug","Cobb Area County Water District","CA1710012","County Water District","TMF failures, under receivership","TMF Capacity",0,0,1,0,0,"Technical Assistance/SWRCB","Regionalization","Physical","Voluntary",NA,-122.730287,38.829578,"Both","Changed date to match others and what is in success story but originally said may",NA,"No","No","9","Cobb","GWP",NA,"GWP","GW",3308,"Community water system",372.455628,3,NA,NA,"Private - type unknown","Special district"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700542","Branding Iron Mutual*","C","MWC",27,90,"8/18/18","Aug.2018","18-Aug","Cobb Area County Water District","CA1710012","County Water District","Valley Fire impacted","Disaster",0,0,0,1,0,"TA/SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf",-122.721253,38.822877,"Both","Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that). Made date aug 18, 2018 based on success story",NA,"No","No","9","Cobb","GW",NA,"GW","GW",3308,"Community water system",NA,NA,NA,NA,"Nonprofit private","Special district"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700563","Lake County CSA 22 - Mount Hannah^","C","CSA",39,95,"8/18/18","Aug.2018","18-Aug","Cobb Area County Water District","CA1710012","County Water District","Valley Fire impacted","Disaster",0,0,0,1,0,"TA/SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf",-122.729131,38.88741,"Both","Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that). Made date aug 18, 2018 based on success story System number for managerial consolidation was different. CA1700563",NA,"No","No","9","Cobb","GW",NA,"GW","GW",3308,"Community water system",3839.753913,10,NA,NA,"General purpose government","Special district"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700574","Lake County CSA 18 - Starview^","C","CSA",64,172,"8/18/18","Aug.2018","18-Aug","Cobb Area County Water District","CA1710012","County Water District","Valley Fire impacted","Disaster",0,0,0,1,0,"TA/SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf",-122.701879,38.817775,"Both","Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that).Made date aug 18, 2018 based on success story",NA,"No","No","9","Cobb","GW",NA,"GW","GW",3308,"Community water system",98.5212273,2,NA,NA,"General purpose government","Special district"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700552","Hill Nine and Ten*","C","MWC",17,50,"8/18/18","Aug.2018","18-Aug","Cobb Area County Water District","CA1710012","County Water District","Valley Fire impacted, storage and source capacity","Multiple",1,0,0,1,0,"TA/SWRCB","Regionalization","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf",-122.7519933,38.905975,"Both","Changed type from managerial to regionalization based on on success story. Appear twice in excel data because the process started with managerial but not counting that because it doesn't seem like it was ever the end goal just a step in the process (double check that). Made date aug 18, 2018 based on success story",NA,"No","No","9","Cobb","GW",NA,"GW","GW",3308,"Community water system",5921.414589,12,NA,NA,"Nonprofit private","Special district"
"DISTRICT 03 - MENDOCINO","LAKE","CA1700530","Cobb mountain water company","NP","IOU",64,76,"21-Jul",NA,"21-Jul","Cobb area water","CA1710012","County Water District","Valley Fire impacted",NA,NA,NA,NA,NA,NA,NA,"Regionalization","Physical","Voluntary",NA,NA,NA,"OTHER","Added to cobb area water regionalization project according to success story","Yes, consolidation completed, will be added to map next q","No","No","9","Cobb","GW",NA,"GW","GW",3308,"Community water system",681.4420801,3,NA,NA,"IOU","Special district"
"LPA63 - RIVERSIDE COUNTY","RIVERSIDE","CA3303085","HITS, INC. - OOB","NC","Private (other)",5,900,"8/10/17",NA,"17-Aug","CVWD","CA3310001","County Water District","None","None",0,0,0,0,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-116.2191162,33.7122802,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",297500,"Community water system",1354.984314,3,1,NA,"Private ancillary","Special district"
"DISTRICT 24 - TULARE","TULARE","CA5400957","WEST GOSHEN MUTUAL WATER CO","C","MWC",100,400,NA,"14-Jun","16-Jan","CWS - VISALIA","CA5410016","IOU","Nitrate","Quality",0,1,0,0,0,"SWRCB","Voluntary Consolidation","Physical","Voluntary","https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/west_goshen_mwc.pdf",-119.4615901,36.34898964,"Tool","Consolidation success story says complete din 2016. No month so listed january since only using years.",NA,"No","No","2","Yes","GW",NA,"GW","GW",141165,"Community water system",4303.313818,1,NA,NA,"Nonprofit private","IOU"
"DISTRICT 24 - TULARE","TULARE","CA5400966","WESTLAKE VILLAGE MHP","C","MHP",137,350,"2/15/17",NA,"17-Feb","CWS-Visalia","CA5410016","IOU","Water outage","Capacity",0,0,0,1,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.3183382,36.2877026,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",141165,"Community water system",9.244496013,2,NA,NA,"Private ancillary","IOU"
"DISTRICT 24 - TULARE","TULARE","CA5400570","CHINOWTH APARTMENTS","C","Private (other)",10,28,"4/1/17","Mar.2017","17-Apr","CWS-Visalia","CA5410016","IOU","Water Outage","Capacity",0,0,0,1,0,"Private","Voluntary Consolidation","Physical","Voluntary",NA,-119.334984,36.325368,"Both",NA,NA,"No","No","2","Yes","GW",NA,"GW","GW",141165,"Community water system",NA,NA,NA,NA,"Private ancillary","IOU"
NA,"TULARE","CA5400553","TRAVER WATER LLC","C","IOU",180,500,NA,NA,"15-Aug","DEL ORO TRAVER DISTRICT","CA5400553","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Inst. diversity paper","Moved from private to IOU in 2015","confirm ""managerial consolidation"" definition","No","Yes",NA,"Yes",NA,"GW","GW","GW",660,"Community water system",NA,NA,NA,NA,"IOU","IOU"
NA,"SHASTA","CA4500022","HAT CREEK WATER COMPANY, LLC","C","IOU",62,198,"19-Aug",NA,"19-Aug","DEL ORO WATER CO. - HAT CREEK DISTRICT","CA4500022","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Additional cases",NA,"confirm ""managerial consolidation"" definition","No","Yes",NA,"Yes",NA,"SW","SW","SW",205,"Community water system",NA,NA,NA,NA,"IOU","IOU"
"DISTRICT 21 - VALLEY","BUTTE","CA0400091","BUZZTAIL COMMUNITY SERVICE DISTRICT","C","CSD",30,99,NA,NA,"15-Nov","DEL ORO WATER COMPANY - BUZZTAIL DIST.","CA0400091","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Inst. diversity paper","Bought in 2015, previously CSD","No records of change in ECM, would need to email district","No","No",NA,"Yes","GW","GW","GW","GW",99,"Community water system",NA,NA,NA,NA,"Special district","IOU"
NA,"GLENN","CA1100404","BLACK BUTTE WATER CO.","C","IOU",87,249,NA,NA,"15-Sep","DEL ORO WC - BLACK BUTTE DISTRICT","CA1100404","IOU",NA,NA,NA,NA,NA,NA,NA,NA,"Managerial","Managerial","Voluntary",NA,NA,NA,"Inst. diversity paper","Acquired in 2015, to IOU Private water company previously but owner died and children didn't want to operate it","Black Butte Water Co CA4700832 is inactive, the physical location was 316 Pony Trail, Mt Shasta, CA 96067, far from Del Oro BB - which the boundary map shows to be (Orleans, CA)","No","Yes",NA,"Yes",NA,"GW","GW","GW",284,"Community water system",407.0287487,1,NA,NA,"IOU","IOU"
