PWS ID,PWS Name,PWS Type,Population Served Count,# of Facilities,# of Violations,# of Site Visits,Primary Source,Primary Source Code,Address Line1,Address Line2,Counties Served
CA1502686,USFS - FRENCH GULCH CAMPGROUND WS,Transient non-community system,42,3,5,4,Ground water,GW,1839 S. NEWCOMB STREET,,Kern
CA1502575,USFS - FULTON WORK CENTER,Transient non-community system,30,3,12,6,Ground water,GW,1839 S. NEWCOMB STREET,,Kern
CA1502689,USFS - CAMP 9,Transient non-community system,161,3,10,9,Ground water,GW,1839 S. NEWCOMB STREET,,Kern
CA1502572,USFS - HAVILAH WORK CENTER,Transient non-community system,30,4,9,4,Ground water,GW,1839 S. NEWCOMB STREET,,Kern
CA5403102,NEW LEAF COLD STORAGE,Transient non-community system,80,4,16,7,Ground water,GW,3170 AVENUE 360,,Tulare
CA5100135,EAST NICOLAUS MWC,Transient non-community system,39,2,4,13,Ground water,GW,P.O. Box 44,,Sutter
CA3310026,NUEVO WATER COMPANY,Community water system,"7,033",18,9,8,Surface water purchased,SWP,30427 11TH St.,,Riverside
CA5410010,"PORTERVILLE, CITY OF",Community water system,"65,702",103,2,15,Ground water,GW,291 NORTH MAIN STREET,,Tulare
CA5410048,PORTERVILLE-JONES CORNER,Community water system,339,5,0,4,Ground water,GW,291 NORTH MAIN STREET,,Tulare
CA5602301,SANTA MONICA MT. REC AREA - CIRCLE X,Transient non-community system,29,3,3,10,Ground water,GW,26412 Mulholland HWY,,Ventura
CA2400170,HILMAR CHEESE COMPANY,Non-Transient non-community system,"1,701",12,7,3,Ground water,GW,P.O. BOX 910,,Merced
CA3301937,MESQUITE MUTUAL WATER CO.,Community water system,42,2,55,16,Ground water,GW,50334 Jackson St.,,Riverside
CA3301803,CASTRO TRAILER PARK,Community water system,180,2,18,14,Ground water,GW,53-450 Tyler St.,,Riverside
CA3301682,TRAILS END MUTUAL WATER COMPANY,Community water system,52,2,31,10,Ground water,GW,P.O. BOX 380,,Riverside
CA3600172,MP MINE OPERATIONS LLC,Community water system,172,12,5,52,Ground water,GW,67750 BAILEY ROAD,,San Bernardino
CA2800050,JOSEPH CELLARS WINERY,Transient non-community system,25,2,8,3,Ground water,GW,4455 St. Helena Hwy,,Napa
CA3600409,BARSTOW CALICO KOA,Transient non-community system,215,2,5,30,Ground water,GW,PO Box 967,,San Bernardino
CA3600372,PALMS RIVER RESORT,Community water system,127,3,7,39,Ground water,GW,7100 WEST FLORIDA AVENUE,,San Bernardino
CA3600384,BONITA RANCH RV CAMPGROUND,Transient non-community system,400,3,5,31,Ground water,GW,900 SOUTH FORK ROAD,,San Bernardino
CA1300574,WELL TRAILER PARK THE,Transient non-community system,30,5,10,18,Ground water,GW,209 W. Second Street,,Imperial
CA3600591,CAMP OAKES,Transient non-community system,300,3,0,31,Ground water,GW,PO BOX 452,,San Bernardino
CA3600613,VIDAL CHEVRON,Transient non-community system,25,2,0,34,Ground water,GW,2078 INGAMAC WAY,,San Bernardino
CA2800042,FROGS LEAP WINERY,Transient non-community system,25,2,13,4,Ground water,GW,8815 Conn Creek Road,,Napa
CA3705074,DALEY RANCH,Transient non-community system,300,3,2,2,Ground water,GW,201 N. Broadway,,San Diego
CA2800048,PIAZZA WINERY,Transient non-community system,99,2,0,3,Ground water,GW,1291 west zinfandel lane,,Napa
CA2800100,DEL DOTTO WINERY,Transient non-community system,25,3,0,5,Ground water,GW,1291 west zinfandel lane,,Napa
CA2800012,LMR MAIN STREET PARTNERS LLC,Non-Transient non-community system,26,5,1,11,Ground water,GW,738 Main Street,,Napa
CA2800105,GROTH VINEYARDS & WINERY,Transient non-community system,45,4,1,5,Ground water,GW,750 Oakville Grade,,Napa
CA4900585,BENNETT RIDGE MUTUAL WATER COMPANY,Community water system,446,3,7,3,Ground water,GW,P.O Box 2373,,Sonoma
CA4901444,CHAR VALE VINEYARDS,Transient non-community system,25,3,0,1,Ground water,GW,45 Castro St. #309,,Sonoma
CA4901445,JAMES COURT WATER SYSTEM,Community water system,205,6,1,1,Ground water,GW,7359 Oakmont Dr.,,Sonoma
CA1503397,CALVARY CHAPEL,Transient non-community system,107,2,2,3,Ground water,GW,15719 HIGHLINE RD.,,Kern
CA2701906,LAKE SAN ANTONIO PARK WS,Community water system,54,4,5,3,Ground water,GW,PO BOX 10155,,Monterey
CA2700669,ORCHARD LN WS #02,Community water system,32,3,8,12,Ground water,GW,17750 ORCHARD LN,,Monterey
CA2702293,ROD MCLELLAN BOTANICALS WS,Non-Transient non-community system,81,3,8,11,Ground water,GW,2352 SAN JUAN RD,,Monterey
CA1800576,LONG VALLEY CHARTER SCHOOL,Non-Transient non-community system,150,2,0,8,Ground water,GW,436-965 Susan Drive,,Lassen
CA1800511,LAKE FOREST MUTUAL W.C.,Community water system,565,3,12,15,Ground water,GW,PO Drawer L,,Lassen
CA2700766,STRAWBERRY RD WS #06,Community water system,78,2,24,12,Ground water,GW,,5730 BRIARCLIFF TERRACE,Monterey
CA2700535,JOST POST WA,Community water system,60,5,18,10,Ground water,GW,409 CORRAL DE TIERRA RD.,,Monterey
CA2701273,RIVERSIDE CAMPGROUND WS,Transient non-community system,100,3,17,3,Groundwater under influence of surface water,GU,PO BOX 3,,Monterey
CA2701945,BIG SUR CAMPGROUND WS,Transient non-community system,209,6,6,4,Groundwater under influence of surface water,GU,47000 HIGHWAY ONE,,Monterey
CA2702336,MONTEREY BAY NURSERY WS,Non-Transient non-community system,61,4,15,8,Ground water,GW,PO BOX 1296,,Monterey
CA2702135,FOOTHILL WA,Community water system,46,2,5,9,Ground water,GW,830 RIVER RD,,Monterey
CA2700702,PRUNEDALE MWC,Community water system,277,10,32,15,Ground water,GW,,18295 DOT AVE,Monterey
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,Community water system,"8,360",86,4,11,Surface water purchased,SWP,777 Cottonwood Drive,P.O. BOX 3347,San Bernardino
CA1500290,NORTH MUROC MUTUAL WATER COMPANY,Community water system,270,5,36,6,Surface water purchased,SWP,16835 HILLCREST AVE,,Kern
CA2310002,ROGINA WATER COMPANY INC.,Community water system,"3,700",9,2,9,Ground water,GW,P.O. Box 310,,Mendocino
CA1700738,BOATIQUE WINES,Transient non-community system,25,3,0,1,Ground water,GW,8255 Red Hills Rd,,Lake
CA1900616,THE RIVER COMMUNITY,Community water system,35,5,5,15,Ground water,GW,23701 East Fork Rd,,Los Angeles
CA2701951,MASSA ESTATE VINYEARDS WS (PREV HELLER),Transient non-community system,30,7,7,9,Ground water,GW,PO BOX 6430,,Monterey
CA3610086,WEST END CONSOLIDATED WATER COMPANY,Community water system,0,15,0,10,Ground water,GW,460 N. Euclid Avenue,,San Bernardino
CA5403144,ALI MUTUAL WATER CO,Community water system,39,5,13,4,Ground water,GW,23386 ROAD 140,,Tulare
CA5500368,CAMP TUOLUMNE TRAILS,Transient non-community system,36,2,1,2,Ground water,GW,22988 Ferretti Road,,Tuolumne
CA1503685,CALIFIA FARMS WATER SYSTEM,Non-Transient non-community system,185,4,0,1,Ground water,GW,33502 Lerdo Highway,,Kern
CA1503380,J G BOSWELL TOMATO COMPANY LLC,Non-Transient non-community system,179,12,22,6,Ground water,GW,P. O. BOX 457,,Kern
CA5403084,FAIRWAY MUTUAL WATER CO,Community water system,126,5,16,7,Ground water,GW,3076 AVE 393,,Tulare
CA1805011,HIGH DESERT TEEN CHALLENGE,Non-Transient non-community system,28,2,0,1,Ground water,GW,702-185 Johnstonville Rd.,,Lassen
CA1510800,CCI - TEHACHAPI,Community water system,"4,482",12,11,18,Ground water,GW,P.O. Box 1031,,Kern
CA4100503,BUTANO CANYON MUTUAL,Community water system,150,4,32,79,Surface water,SW,P.O. BOX 367,,San Mateo
CA5403072,MOUNTAIN AIRE MUTUAL WATER CO,Transient non-community system,25,2,8,3,Ground water,GW,P.O. BOX 1178,,Tulare
CA5410011,SPRINGVILLE PUD,Community water system,"1,500",3,18,11,Surface water,SW,P. O. BOX 434,,Tulare
CA2700547,DESMOND RD WS #03,Community water system,56,2,18,14,Ground water,GW,3 DESMOND RD,,Monterey
CA2300811,ALBION RIVER INN,Transient non-community system,53,3,2,5,Ground water,GW,P.O. Box 100,,Mendocino
CA2210939,SAVAGES TRADING POST,Transient non-community system,30,3,5,2,Ground water,GW,P.O. BOX 650,,Mariposa
CA1500516,TUT BROTHERS FARM #96,Community water system,30,5,41,13,Ground water,GW,P.O. BOX 39,,Kern
CA1700715,"JACK IN THE BOX - LAKEPORT, CA",Transient non-community system,25,4,4,5,Ground water,GW,3550 Mowry Ave. Suite 301,,Lake
CA4100513,PESCADERO HIGH SCHOOL,Non-Transient non-community system,192,7,5,38,Ground water,GW,360 Butano Cutoff,,San Mateo
CA1000247,SHERWOOD FOREST MHP,Community water system,75,3,39,8,Ground water,GW,P.O. Box 12283,,Fresno
CA3700936,RANCHO ESTATES MUTUAL WATER CO.,Community water system,200,15,27,18,Ground water,GW,33129 Cole Grade Road,,San Diego
CA3710012,RANCHO PAUMA MUTUAL WC,Community water system,899,33,12,13,Ground water,GW,33129 Cole Grade Road,,San Diego
CA4210028,CACHUMA PROJECT,Community water system,0,3,0,0,Surface water,SW,3301 Laurel Canyon Road,,Santa Barbara
CA4200822,SANTA RITA WATER,Community water system,59,8,4,10,Ground water,GW,P.O. BOX 954,,Santa Barbara
CA2810301,CSP-BOTHE-NAPA VALLEY STATE PARK,Transient non-community system,570,6,2,4,Ground water,GW,"1195 Third Street, Second Floor",,Napa
CA2810300,CSP - BALE GRIST MILL STATE HISTORIC PAR,Transient non-community system,350,3,2,3,Ground water,GW,"1195 Third Street, Second Floor",,Napa
CA0110008,CITY OF PLEASANTON,Community water system,"79,201",10,2,25,Surface water purchased,SWP,3333 Busch Road,,Alameda
CA3310037,"CORONA, CITY OF",Community water system,"169,868",77,19,37,Surface water purchased,SWP,755 Public Safety Way,,Riverside
CA5010019,"TURLOCK, CITY OF",Community water system,"74,297",45,9,22,Ground water,GW,"156 S Broadway, Suite 270",,Stanislaus
CA1503662,ALTA WIND PROJECT O&M FACILITY WATER SYS,Non-Transient non-community system,46,3,5,4,Ground water,GW,8560 OAK CREEK RD.,,Kern
CA2600534,LUNDY LAKE RESORT,Transient non-community system,70,4,40,30,Ground water,GW,308 Orange Grove Ave,,Mono
CA0707601,RUSSOS MOBILE PARK,Community water system,110,2,10,22,Ground water,GW,PO BOX 487,,Contra Costa
CA4901348,HOP KILN WINERY,Transient non-community system,150,3,1,2,Ground water,GW,2265 Wisteria Lane,,Sonoma
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",Community water system,"16,719",5,2,19,Surface water purchased,SWP,400 LOMITA ST,,Los Angeles
CA1504003,KERN RIDGE GROWERS,Non-Transient non-community system,95,3,13,1,Ground water,GW,14322 DI GIORGIO ROAD,,Kern
CA5500194,"PEPPERY BAR AND GRILL, THE",Transient non-community system,"4,500",4,4,6,Ground water,GW,13494 Mono Way,,Tuolumne
CA1503667,DERREL'S MINI STORAGE #66,Transient non-community system,28,2,3,3,Ground water,GW,3265 WEST ASHLAN AVE.,,Kern
CA4900674,PINE HILL TERRACE MOBILE HOME PARK,Community water system,27,3,13,3,Ground water,GW,3635 Frei Road,,Sonoma
CA4110016,TOWN OF HILLSBOROUGH,Community water system,"10,910",2,2,11,Surface water purchased,SWP,1600 FLORIBUNDA AVENUE,,San Mateo
CA4110001,MID-PENINSULA WATER DISTRICT,Community water system,"28,050",5,3,20,Surface water purchased,SWP,3 Dairy Lane,,San Mateo
CA3600185,OAK GLEN DOMESTIC WATER,Community water system,175,5,33,34,Ground water,GW,P.O. Box 4171,,San Bernardino
CA2801047,STAGS LEAP WINE CELLARS,Non-Transient non-community system,40,5,4,22,Ground water,GW,5766 Silverado Trail,,Napa
CA4300979,QUAIL CREEK ESTATES MUTUAL WATER COMPANY,Community water system,55,7,0,5,Ground water,GW,4785 Meritage Court,,Santa Clara
CA5000255,MOUNTAIN VIEW ELEMENTARY SCHOOL,Non-Transient non-community system,364,3,20,14,Ground water,GW,7201  CLAYTON AVENUE,,Stanislaus
CA3303035,THERMAL PARK,Community water system,73,4,35,8,Ground water,GW,81230 BEGONIA COURT,,Riverside
CA3600756,OAK GLEN CHRISTIAN CONFERENCE CENTER,Transient non-community system,180,3,25,34,Ground water,GW,39364 Oak Glen Rd,,San Bernardino
CA1310801,CENTINELA STATE PRISON,Community water system,"4,600",4,14,11,Surface water,SW,P.O. Box 731,,Imperial
CA3301025,AZALEA TRAILS GIRL SCOUTS CAMP,Transient non-community system,50,5,33,7,Ground water,GW,1751 Plum Lane,,Riverside
CA3301631,SKYLAND RANCH CAMP,Transient non-community system,40,4,16,10,Ground water,GW,1751 Plum Lane,,Riverside
CA4010001,"ARROYO GRANDE, WATER DEPARTMENT",Community water system,"17,641",15,2,20,Surface water purchased,SWP,300 EAST BRANCH STREET,,San Luis Obispo
CA3301028,BALDY MOUNTAIN RANCH,Community water system,144,5,19,5,Ground water,GW,PO Box 16,,Riverside
CA3301482,ORTEGA OAKS RV PARK&CAMPGROUND,Community water system,180,9,46,16,Ground water,GW,23361 El Torro,,Riverside
CA2410010,WINTON WATER & SANITARY DIST,Community water system,"9,500",21,7,12,Ground water,GW,P.O. BOX 970,,Merced
CA5500030,YOSEMITE LAKES CAMPGROUND,Transient non-community system,413,5,29,23,Surface water,SW,31191 Harden Flat Road,,Tuolumne
CA2400318,NEIGHBORHOOD GROCERY,Transient non-community system,25,3,0,2,Ground water,GW,1945 E. CLEVELAND ROAD,,Merced
CA5010008,"HUGHSON, CITY OF",Community water system,"6,082",17,59,23,Ground water,GW,P.O. Box 9,,Stanislaus
CA5510026,PHOENIX LAKE ESTATES CC MWC,Community water system,988,7,23,8,Ground water,GW,15400 Paseo de los Robles Road,,Tuolumne
CA2410303,CDPR FOUR RIVERS DISTRICT-BASALT,Transient non-community system,350,3,5,4,Surface water,SW,22708 Broadway Street,,Merced
CA2410305,CDPR-SECTOR WIDE POTABLE WATER TANKS,Transient non-community system,171,2,4,4,Surface water purchased,SWP,22708 Broadway Street,,Merced
CA2410304,CDPR FOUR RIVERS DISTRICT-SAN LUIS CREEK,Transient non-community system,650,3,7,4,Surface water,SW,22708 Broadway Street,,Merced
CA2410301,CDPR-MCCONNELL,Transient non-community system,280,2,7,4,Ground water,GW,22708 Broadway Street,,Merced
CA1503398,COUNTRYSIDE MKT & RESTRN-119,Transient non-community system,250,2,3,1,Ground water,GW,9741 S. ENOS LANE,,Kern
CA1503676,COUNTRYSIDE MKT & RESTRNT - BEAR MTN,Transient non-community system,100,2,0,3,Ground water,GW,9741 S. ENOS LANE,,Kern
CA1000671,GERAWAN FRUIT PACKING-KERMAN,Transient non-community system,600,2,0,0,Ground water,GW,12133 AVENUE 408,,Fresno
CA5403145,PRIMA WAWONA - CUTLER PLANT,Non-Transient non-community system,500,7,5,4,Ground water,GW,12133 AVENUE 408,,Tulare
CA1000608,GERAWAN FRUIT PACKING,Transient non-community system,298,7,0,2,Ground water,GW,12133 AVENUE 408,,Fresno
CA1907013,WAGON WHEEL PLAZA,Transient non-community system,55,14,8,11,Ground water,GW,9030 NATIONAL BLVD 2ND. FLOOR,,Los Angeles
CA1910043,"GLENDALE-CITY, WATER DEPT.",Community water system,"205,331",66,1,91,Surface water purchased,SWP,141 N. Glendale Ave. Level 4,,Los Angeles
CA3601070,CADIZ INC,Transient non-community system,25,3,10,24,Ground water,GW,509 MADISON AVE,STE 804,San Bernardino
CA2300541,HERITAGE HOUSE,Non-Transient non-community system,50,6,26,7,Surface water,SW,"8715 Airport Rd., Suite B",,Mendocino
CA3900835,WAYSIDE MOTEL APARTMENTS WTR SYS,Community water system,70,2,20,47,Ground water,GW,3745 Petersen Road,,San Joaquin
CA1400131,KATHERINA MULLER WATER SYSTEM,Transient non-community system,250,3,20,4,Ground water,GW,2206 North Sierra Hwy,,Inyo
CA1900304,DEL SUR GARDENS TRAILER PARK,Transient non-community system,55,4,2,15,Ground water,GW,"31225 La Baya Dr., Suite 206",,Los Angeles
CA3610129,MOJAVE WATER AGENCY,Community water system,"216,740",9,0,2,Ground water,GW,13846 Conference Center Drive,,San Bernardino
CA3610036,"CHINO HILLS, CITY OF",Community water system,"82,490",36,4,7,Surface water purchased,SWP,14000 City Center Drive,,San Bernardino
CA3110006,PLACER CWA - COLFAX,Community water system,"2,987",3,0,9,Surface water,SW,P.O. BOX 6570,,Placer
CA3110005,PLACER CWA - AUBURN/BOWMAN,Community water system,"27,902",6,0,21,Surface water,SW,P.O. BOX 6570,,Placer
CA3710019,RAMONA MUNICIPAL WD,Community water system,"35,628",19,1,19,Surface water purchased,SWP,105 EARLHAM STREET,,San Diego
CA3310040,FERN VALLEY WD,Community water system,900,24,8,14,Surface water,SW,P.O. Box 3039,55790 S. Circle Dr.,Riverside
CA5000454,PURINA MILLS INC,Non-Transient non-community system,25,2,5,9,Ground water,GW,1125  PAUSON RD,,Stanislaus
CA5000273,GRATTON SCHOOL,Non-Transient non-community system,110,3,44,12,Ground water,GW,4500 S GRATTON RD,,Stanislaus
CA1900976,THE OAKS,Community water system,67,18,3,10,Ground water,GW,18651 PINE CANYON RD,,Los Angeles
CA3100011,AUBURN VALLEY COMMUNITY SERVICE DIS,Community water system,290,14,4,48,Ground water,GW,PO BOX 8138,,Placer
CA2702055,VIERRA KNOLLS MWC,Community water system,66,3,7,11,Ground water,GW,,17867 GAIL COURT,Monterey
CA2702165,ORCHARD LN WS #09,Transient non-community system,39,2,15,6,Ground water,GW,,17515 ORCHARD LANE,Monterey
CA5000408,WESTLEY CSD,Community water system,70,4,5,8,Ground water,GW,PO BOX 26,,Stanislaus
CA0706054,BETHEL MARKET,Transient non-community system,100,2,12,34,Ground water,GW,PO BOX 1147,,Contra Costa
CA0707509,DELTA BAR AND GRILL,Transient non-community system,100,3,9,11,Ground water,GW,PO BOX 1147,,Contra Costa
CA2600545,WOODS LODGE,Transient non-community system,75,2,15,9,Ground water,GW,PO BOX 108,,Mono
CA5000584,MESA ELEMENTARY SCHOOL,Non-Transient non-community system,860,2,0,4,Ground water,GW,6715  17TH ST,,Stanislaus
CA0707570,BRIDGEHEAD CAFE,Transient non-community system,80,3,18,23,Ground water,GW,2415 E. 18TH ST.,,Contra Costa
CA0707521,BYRON CORNERS INC,Transient non-community system,90,3,9,29,Ground water,GW,PO BOX 568,,Contra Costa
CA5000290,SMART STOP FOOD MART (EH),Transient non-community system,26,2,2,9,Ground water,GW,6943  MAZE BLVD,,Stanislaus
CA0707608,MARINA MOBILE MANOR,Community water system,75,4,11,27,Ground water,GW,44292 POMACE ST,,Contra Costa
CA5000547,KEYES 76 (WATER SYSTEM),Transient non-community system,25,2,2,8,Ground water,GW,6001 N GOLDEN STATE BLVD,,Stanislaus
CA0706059,GAS N SAVE,Transient non-community system,120,2,25,32,Ground water,GW,1540 E. CYPRESS RD.,,Contra Costa
CA2600552,GRANT LAKE MARINA,Transient non-community system,130,2,12,10,Ground water,GW,PO BOX 627,,Mono
CA5000538,MODESTO CHRISTIAN CENTER (WATERSYSTEM),Transient non-community system,25,2,5,6,Ground water,GW,1644  DEWITT RD,,Stanislaus
CA0707550,SUNSET HARBOR,Transient non-community system,30,2,0,11,Ground water,GW,PO BOX 1431,,Contra Costa
CA2600553,ROCK CREEK LODGE,Transient non-community system,23,2,16,13,Ground water,GW,85 ROCK CREEK ROAD,,Mono
CA5000274,PARADISE SCHOOL,Non-Transient non-community system,152,3,4,10,Ground water,GW,3361  CALIFORNIA AVE,,Stanislaus
CA5800888,SEVEN MILE HOUSE,Transient non-community system,50,4,0,3,Ground water,GW,2310 HUSTON STREET,,Yuba
CA5200556,MAYWOOD MOBILE HOME PARK,Community water system,140,2,17,8,Ground water,GW,4740 Barham Ave SP 45,,Tehama
CA5200338,JEHOVAH'S WITNESSES -CORNING,Transient non-community system,60,2,0,6,Ground water,GW,7637 HIGHWAY 99W,,Tehama
CA5800884,YOUNGLIFE WOODLEAF,Transient non-community system,200,4,2,3,Ground water,GW,11359 LA PORTE ROAD,,Yuba
CA3900998,OASIS MARINA-RESORT,Transient non-community system,100,2,1,25,Ground water,GW,5117 MONTALBANO CT,,San Joaquin
CA3400302,RANCHO SECO PARK,Transient non-community system,40,2,2,17,Ground water,GW,6201 S STREET,MS B 203,Sacramento
CA3400232,RANCHO SECO NGS (SMUD),Non-Transient non-community system,27,4,17,11,Ground water,GW,6201 S STREET,MS B 203,Sacramento
CA3400374,DUCK ISLAND RV PARK,Transient non-community system,110,2,1,19,Ground water,GW,2229 Manzanita Port,,Sacramento
CA3400334,COURTLAND BOARDWALK,Transient non-community system,60,2,3,13,Ground water,GW,PO BOX 354,,Sacramento
CA3400119,EDDO'S HARBOR & R V PARK,Transient non-community system,75,2,8,33,Ground water,GW,19530 E SHERMAN ISLAND LEVEE RD,,Sacramento
CA3400391,BRADSHAW CHRISTIAN SCHOOL,Non-Transient non-community system,935,2,2,23,Ground water,GW,8324 BRADSHAW RD,,Sacramento
CA3400268,WALNUT GROVE ELEMENTARY SCHOOL,Non-Transient non-community system,200,3,3,29,Ground water,GW,445 MONTEZUMA ST,,Sacramento
CA0202504,MARKLEEVILLE WATER CO.,Community water system,25,5,29,3,Surface water,SW,1090 HOT SPRINGS ROAD,,Alpine
CA0202505,PACIFIC VALLEY CAMPGROUND,Transient non-community system,50,3,2,4,Ground water,GW,19777 GREENLEY ROAD,,Alpine
CA0202523,BLOOMFIELD CG #1,Transient non-community system,25,2,0,3,Ground water,GW,19777 GREENLEY ROAD,,Alpine
CA0202524,HIGHLAND LKS #1,Transient non-community system,25,2,0,3,Ground water,GW,19777 GREENLEY ROAD,,Alpine
CA0202525,HIGHLAND LAKES #2,Transient non-community system,26,2,0,3,Ground water,GW,19777 GREENLEY ROAD,,Alpine
CA0202562,SAND FLAT # 1,Transient non-community system,25,2,0,4,Ground water,GW,19777 GREENLEY ROAD,,Alpine
CA0202563,SAND FLAT # 2,Transient non-community system,25,2,0,4,Ground water,GW,19777 GREENLEY ROAD,,Alpine
CA0202564,SAND FLAT # 3,Transient non-community system,25,3,0,3,Ground water,GW,19777 GREENLEY ROAD,,Alpine
CA0202565,SAND FLAT # 4,Transient non-community system,25,2,0,3,Ground water,GW,19777 GREENLEY ROAD,,Alpine
CA0202566,SAND FLAT # 5,Transient non-community system,25,3,0,4,Ground water,GW,19777 GREENLEY ROAD,,Alpine
CA0202509,LAKE ALPINE IMPROVEMENT ASSOCIATION,Transient non-community system,25,4,0,2,Ground water,GW,PO BOX 669,,Alpine
CA2702266,COAST GALLERY WS,Transient non-community system,100,3,9,4,Surface water,SW,,2242 PURDUE AVE,Monterey
CA2702388,ROYAL OAK PLACE WS,Community water system,60,3,6,12,Ground water,GW,,5209 ROYAL OAK PL,Monterey
CA2203021,CAMP CHILNUALNA WATER SYSTEM,Transient non-community system,34,5,1,3,Ground water,GW,P.O. Box 2095,,Mariposa
CA1200701,ORICK C.S.D.,Community water system,450,5,11,12,Ground water,GW,P.O. Box 224,,Humboldt
CA4901264,RATNA LING RETREAT,Non-Transient non-community system,55,13,1,2,Surface water,SW,35755 Hauser Bridge Road,,Sonoma
CA2300900,LEMON'S MARKET,Transient non-community system,150,4,1,1,Ground water,GW,P.O. Box 41,,Mendocino
CA2300905,NAVARRO VINEYARDS,Transient non-community system,110,6,0,2,Ground water,GW,P.O. Box 47,,Mendocino
CA0202517,LAKE ALPINE REC. AREA,Transient non-community system,50,7,24,3,Surface water,SW,PO BOX 669,,Alpine
CA3400204,7042 FOLSOM LLC WATER SYSTEM,Transient non-community system,50,2,17,24,Ground water,GW,6236 MAHALA DR,,Sacramento
CA3400429,ADESA OF SACRAMENTO,Non-Transient non-community system,320,2,4,30,Ground water,GW,8649 KEIFER BLVD,,Sacramento
CA3200141,SIERRA PACIFIC INDUSTRIES QUINCY,Non-Transient non-community system,300,5,6,6,Ground water,GW,Sierra Pacific Industries - Quincy,1538 Lee Road,Plumas
CA3400382,BRADSHAW RANCH GOLF COURSE INC,Transient non-community system,155,2,5,22,Ground water,GW,7350 BRADSHAW RD,,Sacramento
CA3400410,SHELDON TRADING POST,Transient non-community system,60,2,2,15,Ground water,GW,8990 GRANT LINE RD,,Sacramento
CA3400201,COUNTRYSIDE DRIVE-IN,Transient non-community system,40,2,4,11,Ground water,GW,13850 LATROBE RD,,Sacramento
CA3400453,"MATSUDA'S BY GREEN ACRES, LLC",Non-Transient non-community system,125,4,8,28,Ground water,GW,10600 FLORIN RD,,Sacramento
CA3400273,WILTON BIBLE CHURCH,Non-Transient non-community system,125,2,0,21,Ground water,GW,9697 DILLARD RD,,Sacramento
CA3410035,LIGHTHOUSE MARINA RESTAURANT & RESORT,Transient non-community system,450,6,8,15,Ground water,GW,151 BRANNAN ISLAND ROAD,,Sacramento
CA3400336,BROOKSIDE EQUESTRIAN PARK,Transient non-community system,300,4,2,17,Ground water,GW,11120 BRADLEY RD,,Sacramento
CA3400383,BUILDING TRADES ASSOC,Transient non-community system,30,2,3,22,Ground water,GW,2840 EL CENTRO RD,STE 115,Sacramento
CA3400396,TEAL BEND GOLF COURSE,Transient non-community system,300,3,0,15,Ground water,GW,7200 GARDEN HIGHWAY,,Sacramento
CA0202503,WOODFORDS MUTUAL WATER COMPANY,Community water system,50,3,6,2,Ground water,GW,43 HAWKSIDE DRIVE,,Alpine
CA3400457,FLYING V STATION,Transient non-community system,100,2,0,14,Ground water,GW,9700 JACKSON RD,,Sacramento
CA3901336,WESTERN PALLET SUPPLY & LOGISTICS,Non-Transient non-community system,40,4,7,57,Ground water,GW,PO BOX 1208,,San Joaquin
CA3400406,I B E W TRAINING CENTER,Transient non-community system,40,2,3,26,Ground water,GW,2836 EL CENTRO RD,,Sacramento
CA3901370,JIMMYS ONE STOP,Transient non-community system,25,2,12,42,Ground water,GW,1088 FISHBACK RD,,San Joaquin
CA3400416,PAPE MACHINERY,Transient non-community system,70,2,6,34,Ground water,GW,2850 EL CENTRO RD,,Sacramento
CA0202548,CAMP PEACEFUL PINES,Transient non-community system,25,2,0,4,Ground water,GW,2301 WOODLAND AVENUE,,Alpine
CA3400377,PARK DELTA BAY,Transient non-community system,270,6,0,19,Ground water,GW,32392 S COAST HIGHWAY,STE 170,Sacramento
CA3400181,LAGUNA DEL SOL INC,Community water system,470,3,1,24,Ground water,GW,9693 RAWHIDE LN,,Sacramento
CA3400393,NORTH RIDGE COUNTRY CLUB,Transient non-community system,300,3,5,19,Ground water,GW,7600 MADISON AVE,,Sacramento
CA0900629,AMERICAN LEGION TRACT RESORT ASSOC,Transient non-community system,65,3,2,5,Ground water,GW,102 MCDERBY CT,,El Dorado
CA5800914,MARYSVILLE RACEWAY PARK,Transient non-community system,"2,000",2,1,3,Ground water,GW,1468 SIMPSON LANE,,Yuba
CA5800923,MARYSVILLE FLEA MARKET,Transient non-community system,"3,000",2,0,4,Ground water,GW,1468 SIMPSON LANE,,Yuba
CA5800827,WHISPERING PINES MOBILE HOME PARK,Community water system,25,2,1,5,Ground water,GW,3543 RUE DRIVE,,Yuba
CA3105918,RIDE TO WALK,Transient non-community system,80,3,0,3,Ground water,GW,720 SUNRISE AVENUE,SUITE D110,Placer
CA3100062,INDIAN CREEK GOLF COURSE,Transient non-community system,500,5,4,8,Ground water,GW,6500 WISHING WELL LANE,,Placer
CA3107310,VETERINARY DEVELOPMENT COMPANY,Non-Transient non-community system,40,4,8,26,Ground water,GW,PO BOX 23,,Placer
CA2400011,DOLE ATWATER PLANT,Non-Transient non-community system,"1,500",7,11,9,Ground water,GW,7916 W. Bellevue Road,,Merced
CA0800800,PINE GROVE TRAILER PARK,Community water system,100,3,9,17,Ground water,GW,Mr. Macy Burnham,2769 Newburgh Way,Del Norte
